,x,y,z
1,411,0,0
2,654,0,0
3,774,0,0
4,842,0,0
5,1003,0,0
6,1106,0,0
7,1062,0,0
8,1409,0,213
9,1071,96,475
10,1096,96,435
11,1104,407,407
12,1300,543,485
13,1471,557,718
14,1450,912,1098
15,1425,914,1060
16,1490,836,1057
17,1177,862,1140
18,811,963,1057
19,571,881,1053
20,451,1151,1106
21,498,1380,1052
22,451,1282,1107
23,451,1212,1163
24,492,1160,1255
25,510,1115,1204
26,254,1139,1310
27,444,1296,1236
28,1001,1238,1254
29,961,1029,1278
30,1055,694,1319
31,1708,742,1300
32,2175,1063,1120
33,2313,1271,1188
34,2150,1053,1119
35,1899,1411,1188
36,1713,1469,1469
37,1145,1565,1538
38,1107,1984,1143
39,1248,1945,1136
40,2016,2019,1168
41,3055,2068,1161
42,4053,2229,1648
43,3776,1860,1425
44,3963,1611,1880
45,2654,1703,1890
46,2628,1451,1630
47,3543,1397,1612
48,2948,887,1423
49,4726,812,745
50,4568,745,403
51,4268,841,401
52,4742,1165,591
53,3113,4417,443
54,3531,5692,561
55,5707,4204,946
56,5505,4351,1817
57,6444,4301,6922
58,6166,17071,10189
59,4259,16093,8336
60,4913,5796,4099
61,1597,12070,10819
62,2513,6309,3832
63,4670,4776,9045
64,3721,5955,4706
65,3943,14317,10234
66,3424,7653,6770
67,6561,4731,5124
68,4222,4146,4818
69,3773,6848,6668
70,1455,9710,12191
71,2733,3372,18133
72,4036,3219,8831
73,958,1221,3546
74,1452,1492,2250
75,1720,2287,3085
76,4005,3047,986
77,7741,4691,1655
78,3518,7757,1762
79,4559,1875,1793
80,6086,1968,2261
81,2292,1823,2090
82,2246,2603,2256
83,2188,2537,2692
84,2145,2281,2465
85,2242,1573,2815
86,2628,1309,2449
87,2587,1283,1685
88,2564,1280,1835
89,2047,960,2099
90,1057,1247,2078
91,909,1265,2123
92,1245,1183,2055
93,1442,1290,2119
94,1494,965,2082
95,1508,593,2089
96,1090,633,1790
97,1038,624,1630
98,679,554,1600
99,391,633,1701
100,670,638,1544
101,1055,1347,1634
102,987,1384,1435
103,1074,1351,1319
104,1676,1387,1202
105,1674,1379,897
106,1680,1309,978
107,1673,1386,927
108,1608,1347,940
109,1427,1003,931
110,1101,975,926
111,623,966,952
112,509,937,920
113,1006,1261,920
114,981,1102,1005
115,806,648,824
116,774,429,874
117,804,261,865
118,1027,260,793
119,948,312,900
120,1157,0,727
121,1239,0,782
122,1159,0,759
123,1195,0,335
124,1102,0,163
125,1159,0,54
126,1123,0,0
127,680,0,0
128,413,0,0
