,x,y,z
1,31,0,212
2,0,0,301
3,31,0,453
4,0,0,396
5,31,0,390
6,0,0,546
7,31,0,607
8,0,0,487
9,0,0,574
10,31,0,760
11,0,0,848
12,31,0,576
13,0,0,723
14,31,0,760
15,0,0,938
16,31,0,820
17,0,0,635
18,31,0,754
19,0,0,878
20,31,30,942
21,0,30,940
22,91,60,879
23,30,30,819
24,91,61,877
25,90,91,938
26,91,91,1032
27,121,152,1093
28,90,121,1062
29,91,243,1065
30,90,243,1124
31,121,214,1092
32,122,366,1153
33,182,214,1123
34,122,428,1214
35,153,337,1153
36,238,368,1211
37,238,429,1306
38,325,429,1276
39,296,399,1274
40,387,545,1246
41,443,545,1489
42,508,632,1429
43,693,818,1488
44,627,877,1424
45,844,1089,1367
46,868,1180,1609
47,843,1386,1638
48,809,1594,1520
49,843,1657,1701
50,1083,1868,1761
51,1248,2200,1789
52,1425,2112,1854
53,1740,2232,2032
54,1805,2502,1945
55,2199,2596,2124
56,2372,2775,2248
57,2619,3140,2397
58,2710,3203,2493
59,3391,3323,2757
60,3676,3477,3070
61,5860,4018,3401
62,7181,5798,3976
63,10137,6897,5040
64,20491,15889,8594
65,13340,18819,7807
66,8327,10978,3275
67,6787,7492,2818
68,6173,5371,2264
69,5806,4389,2120
70,4866,3883,1878
71,4257,3438,1754
72,3606,2870,1632
73,3113,2452,1583
74,2231,2218,1510
75,1895,1994,1296
76,1832,1964,1242
77,1739,1780,1387
78,1618,1870,968
79,1647,1350,1387
80,1434,1288,999
81,1312,1287,1003
82,1312,1134,1152
83,1011,955,955
84,892,804,909
85,769,744,1062
86,799,775,999
87,645,558,877
88,645,465,863
89,582,527,846
90,521,465,845
91,554,310,909
92,399,279,847
93,430,279,846
94,307,248,815
95,368,186,754
96,368,186,754
97,244,217,754
98,214,93,724
99,93,155,693
100,93,124,659
101,124,155,585
102,93,62,694
103,93,62,723
104,93,62,693
105,124,31,693
106,124,31,663
107,93,31,720
108,62,62,554
109,62,0,540
110,31,0,661
111,62,0,662
112,62,0,630
113,31,0,645
114,31,0,416
115,31,0,481
116,31,0,662
117,31,0,538
118,31,0,490
119,0,0,359
120,0,0,510
121,0,0,477
122,0,0,368
123,0,0,206
124,0,0,356
125,0,0,306
126,0,0,202
127,0,0,144
128,0,0,96
