,x,y,z
0,42,44,255
1,115,100,456
2,83,140,1642
3,82,196,3275
4,147,232,4065
5,356,488,4386
6,972,627,4310
7,1910,751,4371
8,2679,822,4495
9,2645,1006,4452
10,2879,1257,4565
11,3060,1531,4610
12,3095,2067,4841
13,3085,2946,5221
14,4196,5185,6346
15,18002,26066,15024
16,18267,20406,5010
17,2929,4491,625
18,2531,2880,521
19,2313,2103,442
20,2271,1579,356
21,2281,1422,328
22,2362,1223,333
23,2385,916,296
24,1511,754,259
25,632,664,232
26,361,600,196
27,143,434,179
28,133,229,132
29,31,161,114
30,0,115,85
31,0,62,68
