,x,y,z
0,5995,50,105
1,8136,46,181
2,10603,48,373
3,12346,1484,3524
4,12978,2626,5023
5,12902,3310,5670
6,15705,3168,6549
7,15119,2881,6245
8,13078,3031,7495
9,11467,4504,8768
10,10276,5838,10590
11,9603,5629,12963
12,9350,8215,13868
13,9668,10357,15942
14,11050,16774,33648
15,31658,142888,171558
16,30947,152563,77675
17,10438,8614,3375
18,9237,3898,2552
19,8900,5270,2026
20,9140,4128,2640
21,9920,3007,1578
22,10990,2275,1046
23,12374,1805,1263
24,14351,1584,1392
25,15213,1610,1099
26,13616,1772,1032
27,14004,1614,999
28,13447,850,627
29,11626,0,33
30,8847,0,0
31,6820,0,0
