,x,y,z
0,4,0,1
1,7,0,3
2,5,0,2
3,8,0,2
4,10,0,2
5,9,0,3
6,11,0,3
7,9,0,4
8,15,0,5
9,13,0,5
10,17,1,4
11,20,3,4
12,20,1,10
13,27,2,13
14,26,2,8
15,32,2,21
16,37,8,11
17,46,19,15
18,49,22,73
19,57,29,97
20,57,34,103
21,71,45,168
22,68,49,188
23,72,60,215
24,87,72,277
25,94,82,305
26,95,87,369
27,97,96,406
28,122,104,457
29,137,112,498
30,145,76,509
31,177,116,491
32,209,127,524
33,271,153,537
34,335,161,611
35,419,208,649
36,550,191,822
37,734,232,952
38,995,233,1211
39,1360,237,1404
40,1787,273,1506
41,2234,365,1670
42,2594,395,1627
43,3160,429,1789
44,3913,438,1734
45,4465,480,1616
46,5117,466,1723
47,4905,546,1873
48,4601,669,2046
49,3905,687,2239
50,3325,917,2697
51,2883,1500,3012
52,2491,2361,3487
53,2255,3094,4273
54,2008,3898,4267
55,1875,3666,4233
56,1827,3117,3874
57,1933,3238,5629
58,2173,4462,4625
59,2836,2472,5809
60,3800,3955,12521
61,14220,25385,33571
62,11856,42789,10254
63,1471,6899,3301
64,1255,3716,2541
65,1165,2634,610
66,1154,2445,1667
67,1209,2672,641
68,1275,867,666
69,1380,756,1106
70,1531,974,859
71,1733,1080,555
72,1976,1070,209
73,2279,787,142
74,2724,535,125
75,3223,498,116
76,3515,451,120
77,3592,365,117
78,3529,468,129
79,2908,448,139
80,2394,533,155
81,2017,539,170
82,1705,603,189
83,1372,626,205
84,1055,621,221
85,788,626,230
86,579,547,219
87,419,497,230
88,319,470,207
89,255,474,263
90,198,453,239
91,159,435,204
92,132,423,269
93,121,407,225
94,102,427,233
95,91,406,253
96,83,385,188
97,74,308,169
98,73,328,133
99,60,234,157
100,61,220,153
101,58,200,145
102,44,158,107
103,47,112,100
104,45,98,57
105,40,71,74
106,38,20,30
107,24,23,36
108,30,10,22
109,18,12,29
110,24,6,28
111,16,10,24
112,12,3,12
113,14,5,18
114,11,8,12
115,12,4,15
116,7,4,10
117,9,5,8
118,7,5,7
119,8,3,2
120,4,2,4
121,5,3,2
122,8,3,2
123,1,1,1
