,x,y,z
0,0,5,151
1,0,20,245
2,0,36,319
3,0,58,395
4,0,68,461
5,0,79,513
6,0,79,569
7,0,102,622
8,0,127,694
9,0,123,689
10,0,136,727
11,0,169,749
12,0,200,733
13,0,226,752
14,0,229,761
15,0,249,763
16,0,282,785
17,0,306,788
18,0,327,815
19,0,358,828
20,0,387,873
21,0,435,877
22,11,465,895
23,27,498,946
24,27,547,980
25,249,595,1061
26,429,654,1116
27,611,773,1212
28,365,955,1350
29,972,1265,1608
30,2003,1808,2131
31,13499,5460,5001
32,13616,6417,2476
33,1245,2076,213
34,906,1385,217
35,553,1011,197
36,217,783,145
37,253,652,135
38,306,587,131
39,69,510,137
40,40,476,139
41,41,465,112
42,40,435,99
43,43,440,100
44,21,395,101
45,0,348,98
46,0,331,91
47,0,321,81
48,0,290,77
49,0,252,83
50,0,217,82
51,0,192,59
52,0,183,55
53,0,138,38
54,0,113,33
55,0,103,31
56,0,88,32
57,0,77,35
58,0,63,25
59,0,53,29
60,0,41,25
61,0,36,16
62,0,27,12
63,0,14,5
