,x,y,z
0,151,7,7
1,177,6,20
2,231,6,34
3,267,9,27
4,306,13,41
5,335,11,32
6,354,13,43
7,330,14,55
8,427,12,60
9,424,19,66
10,483,27,65
11,518,19,83
12,552,37,119
13,598,26,90
14,578,30,107
15,745,48,145
16,764,43,111
17,850,78,160
18,867,107,212
19,871,160,318
20,916,230,436
21,929,319,565
22,949,296,562
23,957,366,722
24,998,340,753
25,971,440,821
26,979,452,923
27,995,515,1009
28,1032,534,974
29,1114,569,1007
30,1211,644,1050
31,1404,661,1110
32,1638,722,1164
33,1961,771,1254
34,2407,878,1319
35,2991,1026,1640
36,3702,1259,1956
37,4578,1508,2453
38,5491,1819,2849
39,6497,2014,3272
40,7602,2315,3540
41,8769,2399,3910
42,9925,2698,3913
43,11612,2874,4104
44,13593,3007,4413
45,15696,2978,4686
46,16440,2981,4793
47,16414,2990,4590
48,15321,3119,4732
49,13847,3103,4838
50,12319,3206,5260
51,10876,3239,5889
52,9642,3782,6819
53,8760,4218,7422
54,8038,5391,7869
55,7540,6020,7935
56,7196,5954,8720
57,7087,5666,10488
58,7184,7260,13779
59,8144,12710,18564
60,11147,26950,29547
61,29512,168299,241394
62,40721,191208,128601
63,10963,25575,9959
64,7904,13719,10428
65,7335,12394,5352
66,7237,8054,6209
67,7382,6234,3171
68,7720,6069,2211
69,8112,5229,2095
70,8859,4812,2337
71,9808,4399,1882
72,11032,4008,1852
73,12639,3808,1728
74,13999,3624,1651
75,15339,3512,1608
76,16519,3595,1584
77,16607,3458,1495
78,15621,3288,1380
79,13962,3111,1201
80,11676,2963,1130
81,9977,2815,1080
82,8772,2479,963
83,7638,2346,932
84,6690,2063,835
85,5680,1802,719
86,4767,1508,599
87,3848,1211,477
88,3113,992,392
89,2516,862,332
90,2046,728,281
91,1716,656,278
92,1436,619,240
93,1269,624,238
94,1126,538,198
95,1004,513,203
96,974,517,192
97,948,540,169
98,925,419,145
99,914,408,137
100,873,333,100
101,842,270,98
102,892,279,87
103,816,208,60
104,793,143,44
105,744,99,27
106,789,85,11
107,794,43,6
108,659,33,11
109,583,33,7
110,520,33,5
111,483,25,3
112,458,16,14
113,449,11,9
114,415,9,1
115,350,8,0
116,331,12,0
117,340,14,0
118,281,9,0
119,244,8,0
120,271,8,0
121,194,5,0
122,176,8,0
123,212,6,0
