,x,y,z
0,40,1,2
1,38,1,4
2,39,3,6
3,44,2,7
4,55,4,6
5,47,1,13
6,47,5,13
7,51,6,18
8,70,8,20
9,69,8,24
10,77,8,27
11,81,12,31
12,82,9,39
13,77,15,42
14,87,13,63
15,107,25,46
16,109,33,76
17,117,49,123
18,101,77,165
19,133,99,181
20,130,119,234
21,143,138,243
22,160,157,300
23,175,187,342
24,199,233,404
25,226,254,516
26,248,326,591
27,288,412,762
28,314,504,902
29,364,710,1127
30,459,862,1495
31,516,1151,1904
32,603,1536,2565
33,734,2263,3440
34,884,2637,4061
35,1085,3155,4713
36,1309,3622,5943
37,1619,4315,7004
38,1932,4738,7481
39,2444,4962,8098
40,3134,5208,8809
41,4128,5637,10007
42,5725,6083,11977
43,8436,7074,15352
44,13037,8971,21974
45,20391,11633,31268
46,29478,13685,38355
47,40582,15926,43058
48,55693,17387,47027
49,75915,17949,46589
50,92270,18222,45347
51,96164,18304,43712
52,84979,19876,44709
53,67846,22876,47941
54,55042,26104,53836
55,45356,30273,55251
56,39058,35205,54955
57,35385,40265,62379
58,33945,45842,71178
59,35150,51119,82503
60,45139,80370,139200
61,181618,555196,614468
62,177521,517121,197201
63,40302,68423,48581
64,33721,49541,24051
65,32185,39891,23358
66,34194,34772,18417
67,37982,30411,15398
68,43511,31108,13673
69,52243,27791,12626
70,65018,24578,11452
71,80521,21477,10637
72,92350,20760,9967
73,88798,20168,9237
74,73920,21469,8980
75,52839,20579,8674
76,38711,19074,7696
77,28129,16862,7001
78,19092,13015,5929
79,12392,9253,5052
80,7964,6954,4335
81,5459,5762,4019
82,3936,4973,3751
83,3016,4676,3821
84,2379,4201,3640
85,1919,4071,3471
86,1576,3448,3192
87,1293,3390,2996
88,1068,2707,2627
89,868,2153,2075
90,744,1661,1775
91,626,1319,1333
92,520,1134,1044
93,441,786,762
94,351,670,656
95,311,563,472
96,278,433,397
97,243,344,329
98,221,270,271
99,193,234,203
100,170,198,164
101,145,148,139
102,149,140,118
103,134,112,108
104,134,101,84
105,97,87,74
106,95,61,54
107,110,45,40
108,88,40,35
109,83,34,32
110,89,29,21
111,69,25,15
112,71,20,15
113,86,18,16
114,63,11,12
115,68,8,7
116,52,8,9
117,50,6,5
118,42,3,6
119,49,6,8
120,34,3,1
121,43,6,0
122,33,1,1
123,39,2,0
