,x,y,z
0,0,0,336
1,0,2,408
2,0,1,385
3,0,0,417
4,0,4,404
5,0,2,411
6,0,3,397
7,0,3,399
8,0,2,389
9,0,2,379
10,0,3,408
11,0,1,376
12,0,5,390
13,0,3,367
14,0,3,376
15,0,2,329
16,0,1,369
17,0,2,306
18,0,6,317
19,0,2,304
20,0,4,291
21,0,3,275
22,0,4,258
23,0,3,254
24,0,6,216
25,0,10,206
26,0,1,188
27,0,8,183
28,0,7,133
29,0,12,129
30,0,6,127
31,0,4,108
32,0,10,96
33,0,7,77
34,0,9,80
35,0,16,80
36,0,14,80
37,0,10,93
38,0,16,89
39,0,25,90
40,0,23,83
41,0,29,112
42,0,39,115
43,0,56,96
44,0,73,99
45,0,93,99
46,0,107,105
47,0,114,99
48,0,147,116
49,0,174,132
50,0,216,130
51,0,227,136
52,0,236,148
53,0,262,173
54,0,334,166
55,6,408,179
56,56,513,156
57,368,545,233
58,1013,626,323
59,1539,789,307
60,1714,855,449
61,3768,2705,1702
62,2780,1678,138
63,1946,981,4
64,1853,757,3
65,965,674,0
66,405,577,1
67,43,468,0
68,0,357,1
69,0,343,0
70,0,293,1
71,0,266,0
72,0,214,1
73,0,193,0
74,0,156,7
75,0,119,9
76,0,84,0
77,0,70,0
78,0,53,0
79,0,48,0
80,0,41,0
81,0,32,0
82,0,30,0
83,0,27,0
84,0,19,0
85,0,17,0
86,0,11,0
87,0,8,0
88,0,9,0
89,0,11,0
90,0,7,0
91,0,10,0
92,0,8,0
93,0,10,0
94,0,9,0
95,0,4,0
96,0,6,0
97,0,1,0
98,0,0,0
99,0,4,0
100,0,3,0
101,0,9,0
102,0,3,0
103,0,3,0
104,0,1,0
105,0,3,0
106,0,3,0
107,0,2,0
108,0,1,0
109,0,6,0
110,0,4,0
111,0,2,0
112,0,1,0
113,0,2,0
114,0,2,0
115,0,2,0
116,0,4,0
117,0,2,0
118,0,4,0
119,0,1,0
120,0,2,0
121,0,1,0
122,0,2,0
123,0,1,0
