,x,y,z
0,0,4,92
1,0,3,88
2,0,4,82
3,0,4,95
4,0,5,93
5,0,6,97
6,0,5,90
7,0,3,104
8,0,5,97
9,0,4,99
10,0,5,92
11,0,8,107
12,0,10,105
13,0,7,102
14,0,15,117
15,0,9,116
16,0,10,115
17,0,14,98
18,0,16,111
19,0,13,114
20,0,15,124
21,0,14,106
22,0,17,117
23,0,20,137
24,0,21,151
25,0,22,132
26,0,27,147
27,0,27,141
28,0,33,141
29,0,37,165
30,0,33,167
31,0,46,143
32,0,31,151
33,0,43,182
34,0,49,173
35,0,48,136
36,0,56,193
37,0,60,189
38,0,56,169
39,0,63,180
40,0,65,185
41,0,72,176
42,0,70,184
43,0,80,205
44,0,72,178
45,0,81,189
46,0,91,225
47,0,97,189
48,0,98,207
49,0,118,207
50,0,132,241
51,0,124,213
52,0,153,246
53,0,149,243
54,0,169,259
55,0,220,282
56,0,220,304
57,1,271,344
58,21,324,404
59,96,433,513
60,689,678,717
61,6518,2362,2129
62,6252,2090,544
63,622,753,106
64,147,489,52
65,28,406,38
66,2,338,32
67,0,283,34
68,0,255,12
69,0,221,11
70,0,204,13
71,0,179,10
72,0,167,18
73,0,130,10
74,0,124,8
75,0,119,9
76,0,106,8
77,0,104,10
78,0,89,10
79,0,90,7
80,0,85,8
81,0,86,12
82,0,73,7
83,0,67,11
84,0,64,8
85,0,68,8
86,0,67,11
87,0,63,8
88,0,51,7
89,0,52,11
90,0,53,6
91,0,49,3
92,0,41,7
93,0,37,5
94,0,34,7
95,0,30,6
96,0,31,7
97,0,22,7
98,0,30,6
99,0,25,6
100,0,20,7
101,0,26,8
102,0,24,6
103,0,11,9
104,0,12,5
105,0,12,8
106,0,17,9
107,0,7,5
108,0,13,3
109,0,8,4
110,0,10,4
111,0,9,5
112,0,5,5
113,0,4,5
114,0,6,4
115,0,5,7
116,0,5,5
117,0,5,4
118,0,5,5
119,0,7,6
120,0,5,5
121,0,6,6
122,0,3,6
123,0,6,5
