,x,y,z
0,13,1,1
1,7,0,2
2,16,1,3
3,17,2,0
4,15,1,5
5,18,3,5
6,19,2,3
7,23,2,5
8,25,5,7
9,24,6,6
10,26,8,6
11,28,6,10
12,33,5,12
13,34,9,17
14,27,7,18
15,40,15,19
16,27,9,30
17,41,28,43
18,46,38,64
19,34,41,66
20,40,48,89
21,47,54,99
22,42,64,112
23,53,82,140
24,54,88,152
25,68,101,181
26,73,129,208
27,81,144,243
28,85,197,289
29,89,230,367
30,114,262,493
31,122,322,576
32,155,430,773
33,178,569,948
34,195,762,1348
35,251,1040,1719
36,304,1370,2269
37,364,1892,3092
38,460,2358,3752
39,573,2888,4577
40,719,2917,5010
41,935,3269,5197
42,1257,3571,5555
43,1713,3612,6115
44,2486,4107,7022
45,3905,4825,9373
46,6494,6153,14237
47,10735,7806,20698
48,16092,9726,25216
49,23300,10363,28052
50,33537,10576,29066
51,42623,11172,27134
52,44575,11416,25899
53,38245,12512,26447
54,29128,15406,29232
55,23223,17253,33448
56,19233,17163,36891
57,16935,16069,36508
58,16277,16750,40686
59,17256,23142,53382
60,23261,37878,80596
61,88261,264198,254008
62,97242,259160,86486
63,25206,42063,18144
64,19968,22459,14884
65,18958,15203,6256
66,20881,14274,6200
67,23635,14284,5856
68,28309,14317,5906
69,35927,13916,5658
70,46751,12577,5760
71,55943,10876,5683
72,53192,10021,5375
73,41498,9702,4931
74,28329,8958,4642
75,19784,7626,3962
76,13090,6057,2813
77,7978,4566,2167
78,4770,3475,1733
79,3076,3213,1546
80,2096,2959,1368
81,1541,2825,1225
82,1158,2781,1159
83,901,2651,1055
84,725,2462,977
85,563,2129,776
86,449,1614,709
87,375,1356,599
88,321,994,429
89,242,778,325
90,210,578,259
91,182,431,189
92,163,331,120
93,140,250,99
94,119,213,85
95,102,169,61
96,88,135,54
97,78,129,40
98,81,105,39
99,67,89,28
100,59,75,25
101,63,59,21
102,59,46,17
103,49,47,14
104,61,36,9
105,44,37,11
106,49,26,11
107,39,17,5
108,48,19,3
109,38,16,4
110,40,10,4
111,36,9,1
112,41,5,3
113,35,8,0
114,35,5,1
115,28,4,0
116,24,1,0
117,25,3,0
118,16,1,2
119,18,0,0
120,25,2,0
121,16,1,0
122,18,1,1
123,10,0,1
