,x,y,z
0,1,2,9
1,2,6,18
2,3,1,19
3,6,1,16
4,2,5,29
5,6,6,27
6,3,3,33
7,1,3,47
8,8,2,42
9,3,3,45
10,5,2,51
11,5,3,63
12,4,4,42
13,7,5,43
14,8,2,56
15,5,5,67
16,4,4,49
17,3,5,54
18,9,3,63
19,14,8,64
20,5,3,79
21,8,11,73
22,7,9,86
23,8,7,71
24,5,11,103
25,10,12,92
26,8,12,119
27,5,21,96
28,8,13,124
29,4,23,135
30,12,27,143
31,8,28,148
32,11,30,188
33,4,33,191
34,10,40,217
35,6,48,223
36,12,47,257
37,9,54,233
38,4,73,287
39,11,89,294
40,8,87,308
41,12,93,324
42,11,113,353
43,11,116,375
44,13,130,398
45,7,134,410
46,9,155,445
47,22,170,471
48,11,170,523
49,13,195,571
50,10,228,606
51,20,226,631
52,17,253,697
53,20,292,762
54,16,317,816
55,22,320,926
56,23,360,1031
57,22,403,1079
58,27,453,1274
59,27,491,1377
60,32,535,1542
61,32,584,1709
62,37,649,1877
63,33,734,2195
64,41,877,2523
65,45,1001,2698
66,49,1033,3187
67,47,1356,3574
68,45,1429,3958
69,58,1751,4871
70,52,1894,5244
71,58,2134,6202
72,62,2538,6909
73,67,2939,8699
74,78,3464,9767
75,83,3959,10730
76,89,4184,11738
77,99,5332,12435
78,102,5905,13993
79,112,6015,14708
80,118,6171,14137
81,145,6527,13925
82,162,7191,13907
83,183,7070,13985
84,204,6807,13888
85,229,7137,13427
86,276,7057,13305
87,325,6983,13147
88,399,6805,12926
89,468,5942,12341
90,550,6150,12516
91,685,5900,12332
92,1044,5594,12573
93,1281,5457,12910
94,1772,5068,13056
95,2628,5184,13008
96,3146,4945,13708
97,4247,4800,13635
98,4822,4753,13966
99,5422,4366,14163
100,6357,4626,14868
101,5665,4486,15024
102,6058,4414,15957
103,6528,4666,16804
104,7115,4850,17652
105,8016,4866,17945
106,8079,5335,16957
107,9143,5180,17099
108,9686,5263,17108
109,10499,5561,17748
110,10250,6136,18654
111,10662,6331,16910
112,10611,6046,16517
113,10872,6478,18971
114,10157,6717,17161
115,9883,7965,18279
116,10407,8812,16716
117,10052,8557,17010
118,10884,9581,16312
119,12820,10221,14368
120,10719,12976,14737
121,11300,14241,14888
122,9904,16514,15522
123,10079,17290,17070
124,15588,21875,20670
125,19042,26428,25251
126,60252,31267,24062
127,168450,84501,47248
128,159467,86573,25562
129,45783,34365,3946
130,21362,24223,4946
131,12265,18684,1032
132,12433,16449,882
133,11432,12975,786
134,11909,11781,755
135,10989,11237,725
136,9685,10285,1741
137,9453,9076,717
138,9489,8047,607
139,9396,7359,629
140,9988,7773,782
141,10553,7416,830
142,10941,7358,828
143,10846,6058,545
144,10486,5582,557
145,10708,5220,555
146,10136,5123,546
147,9880,4761,617
148,9517,4386,584
149,8379,4431,567
150,8042,4301,612
151,7503,4296,636
152,7077,4246,618
153,6896,4355,644
154,6720,4022,766
155,6470,4036,699
156,5595,4155,715
157,5221,4474,765
158,3899,4171,803
159,3222,4009,913
160,2775,4317,857
161,1820,4241,968
162,1537,4961,1060
163,1041,4818,886
164,787,5048,1038
165,655,5212,1142
166,527,5321,1192
167,407,6073,1330
168,379,5928,1150
169,305,6377,1291
170,239,6665,1241
171,212,6676,1453
172,195,6989,1272
173,181,6737,1468
174,150,6324,1399
175,138,6239,1366
176,128,6078,1258
177,107,5277,1169
178,109,4661,1103
179,99,4077,1103
180,93,4045,1152
181,93,3238,710
182,75,2731,812
183,77,2369,669
184,73,2070,597
185,69,1857,505
186,66,1546,523
187,68,1340,330
188,46,1081,378
189,68,996,270
190,38,923,279
191,54,803,215
192,34,645,176
193,43,591,146
194,39,581,124
195,28,492,113
196,39,472,110
197,32,397,83
198,26,383,76
199,36,333,85
200,21,319,72
201,24,275,71
202,21,245,62
203,21,219,52
204,19,214,47
205,17,192,38
206,14,176,45
207,13,156,34
208,21,148,34
209,16,132,29
210,11,129,28
211,15,111,25
212,7,108,26
213,10,101,22
214,17,78,21
215,5,85,18
216,6,65,20
217,9,67,12
218,7,52,17
219,6,45,12
220,11,44,14
221,10,32,10
222,6,29,7
223,9,26,11
224,8,24,11
225,7,21,7
226,8,18,6
227,6,14,6
228,6,16,6
229,9,8,4
230,7,15,6
231,5,8,4
232,5,8,4
233,9,8,3
234,8,7,5
235,7,5,5
236,5,8,1
237,6,4,2
238,7,6,4
239,7,4,3
240,5,4,1
241,6,0,1
242,4,3,6
243,3,3,2
244,4,4,1
245,10,1,3
246,5,2,2
247,1,0,6
248,4,6,0
249,5,1,5
250,2,1,1
251,4,2,1
252,3,3,4
253,6,3,3
254,2,0,0
255,3,2,1
