,x,y,z
0,89,0,0
1,82,0,0
2,74,0,0
3,75,0,0
4,78,0,0
5,102,0,0
6,115,0,0
7,88,0,0
8,89,0,0
9,82,0,0
10,98,0,0
11,128,0,0
12,116,0,0
13,125,0,0
14,133,0,0
15,182,0,0
16,157,0,0
17,183,0,0
18,209,0,0
19,205,0,0
20,245,0,0
21,238,0,0
22,293,0,0
23,295,0,0
24,307,0,0
25,348,0,0
26,368,0,0
27,376,0,0
28,393,0,0
29,438,0,0
30,437,0,0
31,464,0,0
32,516,0,0
33,527,0,0
34,573,0,0
35,570,0,0
36,610,0,0
37,657,0,0
38,669,0,0
39,708,0,0
40,720,0,0
41,772,0,0
42,755,0,0
43,787,0,0
44,863,0,0
45,867,0,0
46,878,0,0
47,924,0,0
48,954,0,0
49,970,0,0
50,1015,0,0
51,1019,0,0
52,1038,0,0
53,1064,0,0
54,1088,0,0
55,1127,0,0
56,1134,0,0
57,1138,0,0
58,1164,0,0
59,1189,0,0
60,1199,0,0
61,1222,0,0
62,1231,0,0
63,1249,0,0
64,1248,0,0
65,1318,0,0
66,1425,0,0
67,1576,0,0
68,1754,0,0
69,1942,0,0
70,2184,0,0
71,2445,0,0
72,2795,0,0
73,3158,0,0
74,3639,0,0
75,4196,0,0
76,4880,0,0
77,5689,0,0
78,6691,0,0
79,7872,0,0
80,9301,0,0
81,10959,0,0
82,12849,0,0
83,14951,0,0
84,17151,0,0
85,19391,0,0
86,21546,0,0
87,23598,0,0
88,25433,0,0
89,27113,0,0
90,28695,0,0
91,30249,0,0
92,31950,0,0
93,34027,0,0
94,37050,0,0
95,40843,0,0
96,43734,169,0
97,45164,161,0
98,44849,104,0
99,43058,80,0
100,40272,70,0
101,37102,57,0
102,33930,53,0
103,30890,46,0
104,28257,43,0
105,25895,40,0
106,23777,36,0
107,21998,33,0
108,20471,31,0
109,19153,31,0
110,17984,29,0
111,17012,27,0
112,16186,25,0
113,15450,25,0
114,14856,22,92
115,14371,94,320
116,14032,322,214
117,13706,567,636
118,13599,644,466
119,13524,810,698
120,13621,627,506
121,13875,568,444
122,14362,307,778
123,15068,394,1400
124,16326,4659,3606
125,18704,8089,14165
126,23983,39392,168783
127,70305,1132262,1886336
128,67180,1223105,377003
129,22933,48282,20513
130,17956,9422,6950
131,15697,3341,2405
132,14481,4956,1872
133,13771,1770,11
134,13355,2157,0
135,13097,700,0
136,13037,914,0
137,13088,1350,0
138,13250,127,0
139,13516,157,0
140,13852,25,0
141,14335,26,0
142,14906,29,0
143,15575,31,0
144,16357,33,0
145,17304,35,0
146,18395,39,0
147,19721,41,0
148,21276,44,0
149,22945,50,0
150,24900,53,0
151,27117,63,0
152,29699,67,0
153,32488,79,0
154,35573,98,0
155,38540,125,0
156,41044,262,0
157,42764,0,0
158,43201,0,0
159,41886,0,0
160,39046,0,0
161,35483,0,0
162,32568,0,0
163,30579,0,0
164,28941,0,0
165,27469,0,0
166,25995,0,0
167,24354,0,0
168,22587,0,0
169,20667,0,0
170,18582,0,0
171,16433,0,0
172,14310,0,0
173,12317,0,0
174,10513,0,0
175,8906,0,0
176,7541,0,0
177,6396,0,0
178,5467,0,0
179,4674,0,0
180,4024,0,0
181,3477,0,0
182,3039,0,0
183,2673,0,0
184,2346,0,0
185,2099,0,0
186,1859,0,0
187,1685,0,0
188,1508,0,0
189,1357,0,0
190,1266,0,0
191,1196,0,0
192,1188,0,0
193,1189,0,0
194,1169,0,0
195,1143,0,0
196,1176,0,0
197,1098,0,0
198,1095,0,0
199,1090,0,0
200,1089,0,0
201,1038,0,0
202,1023,0,0
203,996,0,0
204,981,0,0
205,957,0,0
206,938,0,0
207,896,0,0
208,880,0,0
209,866,0,0
210,857,0,0
211,784,0,0
212,766,0,0
213,784,0,0
214,705,0,0
215,687,0,0
216,677,0,0
217,629,0,0
218,611,0,0
219,580,0,0
220,555,0,0
221,537,0,0
222,512,0,0
223,475,0,0
224,451,0,0
225,430,0,0
226,411,0,0
227,389,0,0
228,359,0,0
229,351,0,0
230,324,0,0
231,300,0,0
232,282,0,0
233,256,0,0
234,251,0,0
235,219,0,0
236,215,0,0
237,191,0,0
238,169,0,0
239,183,0,0
240,147,0,0
241,120,0,0
242,149,0,0
243,106,0,0
244,122,0,0
245,78,0,0
246,82,0,0
247,105,0,0
248,91,0,0
249,114,0,0
250,71,0,0
251,61,0,0
252,77,0,0
253,93,0,0
254,83,0,0
255,92,0,0
