,x,y,z
0,263,0,0
1,283,0,0
2,271,0,0
3,273,0,0
4,305,0,0
5,313,0,0
6,307,0,0
7,331,0,0
8,345,0,0
9,354,0,0
10,362,0,0
11,374,0,0
12,392,0,0
13,410,0,0
14,427,0,0
15,429,0,0
16,463,0,0
17,477,0,0
18,496,0,0
19,520,0,0
20,533,0,0
21,569,0,0
22,603,97,0
23,617,199,0
24,642,94,0
25,686,105,0
26,725,88,0
27,747,70,0
28,813,47,0
29,833,55,0
30,883,62,0
31,942,42,0
32,999,78,0
33,1062,62,0
34,1126,68,0
35,1211,9,0
36,1273,109,5
37,1394,90,21
38,1485,84,16
39,1585,54,10
40,1704,44,7
41,1877,90,4
42,2020,61,13
43,2186,45,14
44,2394,72,11
45,2639,44,3
46,2893,31,11
47,3215,45,6
48,3540,27,3
49,3966,32,9
50,4464,34,8
51,5043,44,8
52,5678,19,7
53,6528,34,6
54,7491,27,6
55,8661,22,6
56,10081,28,2
57,11823,26,1
58,13877,22,6
59,16382,23,4
60,19234,25,2
61,22602,23,5
62,26372,22,274
63,30355,281,92
64,34271,137,214
65,36667,127,189
66,36329,84,189
67,31944,71,238
68,24461,85,163
69,16127,100,142
70,11324,49,131
71,9070,79,124
72,8573,55,64
73,8532,226,205
74,8933,155,883
75,9374,115,766
76,9086,111,455
77,7815,134,330
78,6215,102,303
79,4769,81,315
80,3879,67,278
81,3272,74,240
82,2704,108,247
83,2344,84,278
84,2088,111,269
85,1736,101,398
86,1612,44,321
87,1404,524,299
88,1308,294,260
89,1156,336,257
90,1079,227,210
91,998,172,192
92,991,180,215
93,901,167,205
94,829,95,189
95,801,106,197
96,729,75,239
97,745,68,263
98,724,51,321
99,647,47,475
100,721,45,555
101,634,45,672
102,691,50,808
103,654,48,518
104,600,631,330
105,607,541,561
106,518,438,857
107,541,145,1088
108,511,130,657
109,449,337,1572
110,434,987,1592
111,429,2827,4739
112,410,2982,8280
113,397,821,34415
114,380,2033,28579
115,377,2188,9670
116,753,1282,3927
117,656,594,4780
118,534,3002,4321
119,451,4136,4021
120,490,4153,3940
121,547,8027,8291
122,838,6697,19816
123,1136,6528,60186
124,1118,7927,171676
125,1611,19212,303906
126,2935,95840,267518
127,48241,416444,113877
128,46520,402285,21716
129,3949,89916,17919
130,1659,16351,14908
131,1320,13747,9767
132,581,9599,7850
133,439,8402,6666
134,444,6233,7156
135,408,4590,5059
136,377,3945,2400
137,355,4903,3844
138,344,1574,3915
139,349,1236,1081
140,357,3337,243
141,385,2222,1337
142,368,2069,283
143,354,1103,336
144,344,1306,775
145,402,1019,1321
146,416,908,397
147,395,1225,457
148,364,770,350
149,382,668,395
150,367,580,337
151,396,666,192
152,389,287,202
153,397,432,282
154,396,544,222
155,471,844,327
156,453,1017,378
157,511,1035,187
158,527,438,240
159,535,409,179
160,601,333,90
161,562,236,90
162,668,323,59
163,659,265,74
164,717,268,91
165,828,302,58
166,922,179,110
167,1010,176,69
168,1279,173,92
169,1439,183,124
170,1679,177,110
171,1937,208,94
172,2056,307,123
173,2417,133,132
174,2703,115,122
175,3257,124,81
176,4313,157,98
177,5522,199,49
178,7051,237,63
179,8280,302,51
180,8690,246,46
181,8228,316,39
182,8145,614,54
183,8048,118,56
184,8437,141,34
185,11027,169,62
186,16213,67,60
187,23522,81,45
188,31721,58,52
189,36226,66,95
190,36437,79,49
191,33612,71,89
192,30045,100,60
193,26240,150,62
194,22498,210,76
195,19156,28,84
196,16174,31,107
197,13733,28,69
198,11736,21,94
199,9995,34,135
200,8602,28,156
201,7431,44,195
202,6489,25,276
203,5653,30,61
204,5006,45,60
205,4419,59,91
206,3940,76,182
207,3508,86,18
208,3186,135,0
209,2871,205,0
210,2612,0,0
211,2385,0,0
212,2174,0,0
213,2002,0,0
214,1861,0,0
215,1692,0,0
216,1575,0,0
217,1471,0,0
218,1359,0,0
219,1272,0,0
220,1187,0,0
221,1124,0,0
222,1054,0,0
223,991,0,0
224,924,0,0
225,874,0,0
226,828,0,0
227,821,0,0
228,737,0,0
229,705,0,0
230,690,0,0
231,635,0,0
232,603,0,0
233,604,0,0
234,555,0,0
235,543,0,0
236,503,0,0
237,502,0,0
238,462,0,0
239,450,0,0
240,421,0,0
241,436,0,0
242,412,0,0
243,388,0,0
244,355,0,0
245,364,0,0
246,359,0,0
247,332,0,0
248,322,0,0
249,324,0,0
250,292,0,0
251,314,0,0
252,264,0,0
253,285,0,0
254,270,0,0
255,253,0,0
