,x,y,z
0,0,134,1923
1,0,262,4172
2,0,413,5539
3,0,578,6725
4,0,677,7732
5,0,785,8360
6,0,987,9067
7,0,1215,9722
8,0,1459,10260
9,0,1694,10859
10,3,2120,11418
11,48,2550,11894
12,37,2955,12462
13,30,3495,13122
14,26,4048,13740
15,79,4683,14394
16,211,5363,14876
17,389,6193,15544
18,377,7264,16292
19,510,8324,17009
20,937,9686,17537
21,1045,11269,18330
22,1634,12475,19078
23,2418,14542,19744
24,4351,16177,20459
25,6703,17802,21020
26,10314,20438,21361
27,15786,21402,21543
28,26593,22824,21479
29,41292,22336,20401
30,63501,21844,19432
31,85749,25065,18155
32,92328,25991,15465
33,69713,24568,13885
34,44997,23463,12494
35,29213,21487,10401
36,18211,21164,8168
37,11179,18431,6796
38,7436,17272,4915
39,4630,16125,3712
40,2514,13700,2783
41,1652,12299,2721
42,1097,10832,1871
43,964,10086,1582
44,607,8844,1613
45,529,7528,1318
46,281,6703,1048
47,166,5612,649
48,61,4828,820
49,0,4181,628
50,0,3672,527
51,0,3109,592
52,0,2733,518
53,0,2434,227
54,0,2095,220
55,0,1833,212
56,0,1646,193
57,0,1419,186
58,0,1189,169
59,0,956,139
60,0,831,95
61,0,714,13
62,0,564,1
63,0,243,1
