,x,y,z
0,0,45,594
1,0,123,1429
2,0,169,1955
3,0,208,2375
4,0,253,2755
5,0,290,3069
6,0,338,3330
7,0,368,3596
8,0,395,3780
9,0,441,4009
10,0,465,4202
11,0,496,4359
12,0,535,4568
13,0,588,4698
14,0,631,4848
15,0,661,4978
16,0,713,5124
17,0,782,5248
18,0,809,5390
19,0,863,5527
20,0,909,5655
21,0,1000,5774
22,0,1063,5902
23,0,1173,6027
24,0,1256,6181
25,24,1393,6264
26,24,1492,6432
27,21,1602,6544
28,18,1746,6668
29,16,1920,6890
30,74,2071,6951
31,95,2196,7134
32,128,2379,7240
33,102,2511,7400
34,86,2660,7591
35,102,2900,7708
36,146,3317,7898
37,123,3615,8052
38,195,3643,8219
39,334,3929,8439
40,461,4200,8616
41,657,4717,8794
42,799,4887,8953
43,856,5265,9251
44,1056,5614,9420
45,1077,6073,9552
46,1142,6568,9797
47,1434,6832,9945
48,1736,7333,10146
49,2385,7345,10359
50,2523,7606,10407
51,3107,8497,10475
52,4001,9715,10593
53,5041,10827,10646
54,6813,11610,10687
55,9205,11302,10704
56,11938,12628,10593
57,15557,12042,10579
58,18709,12832,10121
59,23593,12489,9722
60,29361,13044,9605
61,37265,13987,9511
62,46964,13351,8970
63,48627,14220,8427
64,48551,13786,8004
65,43925,12712,7530
66,36898,12492,7080
67,28683,11979,6574
68,22521,12772,5914
69,18975,11899,5772
70,14847,10349,4967
71,11448,10535,4464
72,9615,10244,4948
73,7969,10270,4005
74,6069,9775,4068
75,4431,9116,3458
76,3384,8817,3264
77,2840,8296,2533
78,2283,8014,2707
79,1832,7565,2649
80,1543,7436,2184
81,1254,6991,1846
82,1127,6340,2050
83,874,5754,1449
84,574,5390,1315
85,401,5154,1349
86,378,5287,1278
87,354,5174,1162
88,367,4430,1051
89,357,4141,790
90,391,3795,691
91,303,3495,714
92,299,3274,631
93,306,3083,574
94,244,2872,359
95,97,2670,339
96,73,2464,359
97,53,2257,327
98,28,2093,185
99,19,1964,164
100,16,1816,138
101,17,1667,131
102,4,1617,130
103,0,1472,124
104,0,1360,116
105,0,1252,114
106,0,1185,101
107,0,1106,91
108,0,1058,80
109,0,954,80
110,0,888,64
111,0,819,60
112,0,741,54
113,0,686,45
114,0,624,46
115,0,607,43
116,0,540,33
117,0,489,34
118,0,447,28
119,0,414,29
120,0,367,29
121,0,335,29
122,0,286,29
123,0,248,28
124,0,208,28
125,0,188,19
126,0,109,10
127,0,45,2
