,x,y,z
0,0,0,43
1,0,0,58
2,0,0,72
3,0,0,102
4,0,0,104
5,0,0,103
6,0,17,105
7,0,37,131
8,0,36,132
9,0,58,133
10,0,72,166
11,0,73,228
12,0,128,282
13,0,153,341
14,0,216,521
15,0,268,904
16,0,430,1309
17,0,624,1714
18,0,782,2014
19,0,1131,2577
20,0,1549,3421
21,0,2123,4758
22,0,3255,6540
23,0,4331,8663
24,0,5751,11312
25,0,7591,15249
26,0,10148,20422
27,0,14421,31307
28,0,22572,47923
29,0,35727,79453
30,360,69458,187539
31,719047,689756,870645
32,1017094,721844,374716
33,54012,84613,43838
34,7778,39466,23327
35,180,24174,16002
36,0,15360,11137
37,0,10202,7759
38,0,7594,5912
39,0,5792,4023
40,0,4651,3011
41,0,3454,2265
42,0,2559,2008
43,0,1923,1571
44,0,1459,1144
45,0,1006,765
46,0,907,628
47,0,731,469
48,0,535,271
49,0,433,199
50,0,295,174
51,0,174,172
52,0,115,174
53,0,96,128
54,0,81,116
55,0,47,99
56,0,47,100
57,0,47,48
58,0,47,38
59,0,47,38
60,0,47,37
61,0,15,11
62,0,3,11
63,0,0,9
