,x,y,z
0,0,50,524
1,0,93,1192
2,0,149,1663
3,0,211,1970
4,0,210,2307
5,0,214,2584
6,77,213,2804
7,215,216,3619
8,199,267,4820
9,189,284,5849
10,115,287,6150
11,0,266,6270
12,0,507,6352
13,0,548,6560
14,69,535,6812
15,100,590,7065
16,75,597,7498
17,0,697,8072
18,90,780,11685
19,175,849,138747
20,0,909,630733
21,0,901,2226214
22,0,1093,7866244
23,0,2183,4221472
24,0,4701,1043060
25,0,5219,517136
26,0,7191,275804
27,0,5999,197041
28,0,18227,154269
29,0,17125,107956
30,0,11446,80800
31,0,13637,71914
32,0,28795,61338
33,0,25324,51552
34,0,20050,40946
35,0,31301,34467
36,0,36880,31540
37,0,30595,30337
38,0,35527,24904
39,0,30803,21893
40,0,34105,20775
41,0,42283,17337
42,0,38591,14713
43,0,43132,14456
44,0,48783,12622
45,0,49273,11728
46,0,65344,11185
47,0,76594,11039
48,0,98072,8920
49,0,100405,8034
50,0,120914,8255
51,0,135301,8769
52,0,190982,9828
53,0,198294,10025
54,10,233066,11069
55,1882,290039,12534
56,852,356709,11089
57,5132,420842,11253
58,11721,570234,12431
59,24402,740624,7618
60,87348,944858,7955
61,457983,1292424,6145
62,2304422,1445754,5686
63,6357641,1587365,8736
64,6262666,1458900,9241
65,2290153,1373152,6110
66,450625,1183446,4924
67,92572,917141,4371
68,25602,656204,4022
69,9651,591398,3990
70,2206,412464,2708
71,813,358690,3170
72,756,293284,5327
73,996,210424,4000
74,1150,186071,3209
75,185,162706,2821
76,0,140691,3376
77,0,126503,4239
78,0,113327,4413
79,0,82428,2063
80,0,68439,2008
81,0,60579,5250
82,0,48597,1999
83,0,45481,2294
84,0,37395,2127
85,0,31053,4964
86,0,34637,2953
87,535,30035,3960
88,1145,30887,2333
89,0,26478,2218
90,616,23269,3176
91,2299,23197,2554
92,0,22648,2792
93,0,19231,2300
94,0,17551,2351
95,0,22840,3279
96,0,28870,4903
97,463,24019,5924
98,435,12889,5484
99,745,8732,3218
100,0,10969,1123
101,0,9237,682
102,0,11381,2870
103,0,7352,24927
104,0,2241,17479
105,0,1615,13622
106,143,1455,4615
107,156,1601,9094
108,162,1901,2251
109,168,1474,552
110,175,621,308
111,181,942,274
112,188,636,261
113,192,470,252
114,203,441,249
115,10,349,228
116,0,354,132
117,0,344,83
118,0,218,82
119,0,163,83
120,0,160,82
121,0,128,84
122,0,155,41
123,0,175,18
124,0,175,18
125,0,143,18
126,0,50,18
127,0,25,6
