,x,y,z
0,0,13,180
1,0,18,267
2,0,18,316
3,0,17,336
4,0,13,333
5,0,0,346
6,0,6,350
7,0,12,349
8,0,13,358
9,0,12,365
10,0,12,375
11,0,19,884
12,0,22,1922
13,0,22,1537
14,0,24,1973
15,0,25,1768
16,0,25,1533
17,0,24,1548
18,0,28,1688
19,0,41,3123
20,0,57,13302
21,0,76,29379
22,0,74,56309
23,0,72,71698
24,0,96,105631
25,0,123,126649
26,0,3905,144837
27,0,4152,181463
28,0,749,221141
29,0,3719,310891
30,0,2573,419186
31,0,1380,647472
32,0,838,1027140
33,0,452,1593173
34,0,570,1692390
35,0,2248,1293855
36,0,3326,683571
37,0,3005,309218
38,0,5034,121080
39,0,6944,61788
40,0,8327,29883
41,0,13519,21141
42,0,14905,15266
43,0,16415,13590
44,0,13529,10036
45,0,14238,10847
46,0,14472,8359
47,0,15830,8447
48,4,15639,7198
49,52,17780,9548
50,118,24516,11826
51,174,25076,6884
52,185,28420,5706
53,217,38219,9772
54,396,50893,7160
55,1595,60418,3525
56,5321,96674,3429
57,12254,165813,3407
58,26375,279614,3448
59,76141,390767,3395
60,199446,551921,3191
61,552691,810267,3203
62,1316222,935115,3318
63,2533274,1075750,6260
64,2517101,1080234,3086
65,1307247,975293,2650
66,566695,807351,2021
67,206355,577366,2026
68,70851,378509,2230
69,24710,264187,1962
70,8094,153375,2432
71,5507,106258,2051
72,2644,66054,2109
73,113,41865,2179
74,64,33951,2244
75,39,28892,2495
76,39,23287,2777
77,9,19067,2333
78,0,17859,2387
79,0,16289,1095
80,0,14315,872
81,0,12308,1108
82,0,10149,1869
83,0,8753,1332
84,0,9328,1350
85,0,10416,3485
86,0,11788,3708
87,0,9052,1905
88,0,6106,1529
89,0,6819,2125
90,0,3627,3373
91,0,2744,6206
92,0,2742,3669
93,0,2479,3069
94,0,1064,2226
95,0,1513,3327
96,0,1830,3161
97,0,2647,2425
98,0,5026,1863
99,0,2790,2093
100,0,661,3208
101,0,96,1995
102,0,62,2329
103,0,53,1025
104,0,46,794
105,0,43,0
106,0,39,0
107,0,36,0
108,0,31,0
109,0,32,0
110,0,31,0
111,37,28,0
112,57,29,0
113,142,29,0
114,155,30,0
115,109,30,0
116,111,31,0
117,91,27,0
118,51,27,0
119,0,22,0
120,0,22,0
121,0,21,0
122,0,21,0
123,0,20,0
124,0,12,0
125,0,0,0
126,0,0,0
127,0,0,0
