,x,y,z,vx,vy,vz
0,0,0,0,0,0,53
1,0,0,0,0,0,109
2,0,0,0,0,0,213
3,0,0,0,0,0,123
4,0,0,0,0,0,113
5,0,0,0,0,0,175
6,0,0,0,0,0,193
7,0,0,0,0,0,330
8,0,0,0,0,0,210
9,0,0,0,0,0,277
10,0,0,0,0,0,584
11,0,0,0,0,0,722
12,0,0,4540,0,0,513
13,0,0,809,0,0,508
14,0,0,9031,0,0,551
15,0,0,17280,0,0,602
16,0,0,4792,0,0,744
17,0,0,4342,0,0,589
18,0,0,7893,0,0,478
19,0,0,17070,0,0,266
20,0,0,11352,0,0,296
21,0,0,15699,0,0,271
22,0,0,33586,0,0,299
23,0,0,57117,0,0,336
24,0,0,78665,0,0,239
25,0,0,91635,0,0,359
26,0,0,92838,0,0,321
27,0,0,47117,0,0,307
28,0,0,12823,0,0,365
29,0,0,206,0,0,345
30,0,0,0,0,0,512
31,0,0,0,0,0,524
32,0,0,0,0,191,620
33,0,0,0,0,164,736
34,0,0,0,0,243,911
35,0,0,0,255,724,1396
36,0,0,0,520,630,1451
37,0,0,0,1204,365,1319
38,0,0,0,1893,659,1118
39,0,0,0,1744,479,1213
40,0,0,0,1214,530,1889
41,0,0,0,2825,1249,2305
42,0,0,0,4323,2303,2485
43,0,0,0,4268,2642,2996
44,0,0,0,5782,3143,3898
45,0,759,0,7620,4081,4198
46,0,683,0,7953,5243,4929
47,0,576,0,8705,5276,5310
48,0,648,0,9361,7348,6938
49,0,552,0,9576,6800,8825
50,0,523,0,8746,7545,9903
51,0,514,201,9995,9737,11967
52,0,483,351,11241,11721,13040
53,0,870,363,10374,11992,12542
54,0,1195,378,12248,12040,13701
55,0,1050,402,14951,13477,13239
56,0,5403,417,14951,13816,14611
57,0,7877,443,14402,14433,14845
58,0,4084,421,15236,18864,16960
59,4429,9805,409,16080,18459,17465
60,14286,29552,428,15359,18971,18715
61,50658,44457,68,16792,18966,19194
62,72069,59957,0,17312,18317,19965
63,125071,69575,0,18819,19381,21175
64,136318,80001,0,19601,19920,21029
65,68986,53469,0,17889,21987,18738
66,26866,36035,0,16513,19973,18002
67,16628,39170,0,17129,18071,18482
68,6388,26730,0,16363,20183,17098
69,2720,10604,0,17227,15902,16180
70,164,2808,0,19230,16730,15318
71,0,933,0,18134,13469,15155
72,0,1019,0,13544,14657,13474
73,0,1859,0,11723,12117,11939
74,0,4096,0,10200,13743,11649
75,0,1218,0,9804,9820,10494
76,0,2341,0,10084,8506,8550
77,0,2759,0,7774,7495,7754
78,0,2153,0,7173,5301,7185
79,0,2284,0,5681,5248,5733
80,0,2136,0,6778,4652,4550
81,0,2198,0,5119,3818,3757
82,0,843,0,5314,3198,3266
83,0,609,0,5152,2637,3127
84,0,680,0,3816,2395,2515
85,0,1045,221,2703,2157,2114
86,0,827,366,1746,1867,1901
87,0,809,396,1591,2610,1442
88,0,1173,382,1683,1610,894
89,0,1234,384,1294,1517,690
90,0,3106,436,1292,1681,571
91,0,983,545,1217,1740,513
92,0,2898,713,414,1724,347
93,0,0,932,512,1790,228
94,0,0,3982,634,1724,259
95,0,0,5218,425,1836,199
96,0,0,332,385,1657,42
97,0,0,0,284,1158,0
98,0,0,0,408,1028,0
99,0,0,0,256,1264,0
100,0,0,0,254,1135,0
101,0,0,0,180,981,0
102,0,0,0,271,1364,0
103,0,0,0,195,1006,0
104,0,0,0,123,1113,0
105,0,0,0,85,767,0
106,0,0,0,112,351,0
107,0,0,0,106,1233,0
108,0,0,0,325,816,0
109,0,0,0,35,404,0
110,0,0,0,46,353,0
111,0,0,0,8,84,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
