,vx,vy,vz,x,y,z
0,0,0,22,0,0,21262
1,0,0,36,0,0,21876
2,1,0,46,0,0,35465
3,1,0,39,0,18893,32677
4,15,0,54,0,34613,27018
5,15,0,65,0,91584,26439
6,24,0,79,0,58615,32709
7,42,0,68,0,11258,42008
8,70,0,81,0,9191,27685
9,134,0,94,0,37896,42282
10,123,1,123,0,44712,55075
11,122,10,117,0,18486,44443
12,172,15,121,0,40646,40789
13,200,29,74,0,41099,57299
14,245,8,91,0,30594,72835
15,233,24,168,0,62837,39504
16,166,37,190,0,51890,34438
17,135,18,282,0,37841,44759
18,89,5,302,0,3626,46537
19,87,13,447,0,7371,77844
20,134,23,620,0,12185,52841
21,118,13,648,0,50476,63230
22,133,15,648,0,64146,54063
23,172,18,576,0,79454,76027
24,170,12,662,0,96681,65843
25,264,12,818,0,5190,103267
26,207,24,1035,0,27188,85622
27,226,29,1199,0,22905,124396
28,225,45,1542,0,51699,106909
29,234,34,1820,0,67747,156658
30,347,34,2247,0,95765,134119
31,570,42,2619,0,130496,57841
32,720,85,2923,90723,107991,79050
33,726,79,3489,169556,54219,114162
34,814,127,4394,106097,125215,87080
35,1225,162,5703,215949,164666,128031
36,1634,338,6391,190395,89998,115584
37,1169,252,7067,171077,120410,73315
38,1199,540,8327,94113,55477,43629
39,1538,623,9896,139861,80482,124815
40,2021,502,11276,104234,100136,126148
41,2716,906,14783,99726,71648,67480
42,3195,1776,18989,89910,101981,56626
43,3663,2680,23841,99797,80398,55929
44,4433,2162,30629,77211,55484,57254
45,4901,2645,36864,56144,27483,112091
46,6888,2782,51214,58310,56588,92886
47,9210,3679,72204,90548,50763,214627
48,15474,6594,94805,112165,31091,370886
49,25055,12016,124964,81545,40675,633705
50,42818,22131,169060,122283,18896,1211764
51,73646,41247,231429,102720,12728,1898402
52,126501,76908,322641,87629,59358,3096235
53,211355,144254,438481,75862,41178,6237566
54,341290,257104,608240,72548,4740,11974421
55,540108,423265,814543,81537,9238,8046890
56,825261,672590,1087009,103585,41048,2404449
57,1195473,1041953,1427779,56507,68245,517234
58,1655976,1540569,1815388,55157,91781,117122
59,2202718,2138905,2233414,30226,117594,99303
60,2800780,2852162,2698974,62058,607102,85032
61,3370537,3542140,3132658,56710,2267194,115687
62,3829732,4124605,3458795,574718,5971131,30379
63,4087924,4471310,3584613,17666259,9257241,41353
64,4108611,4465247,3471913,17835060,9676327,35890
65,3878558,4122352,3200950,535876,5855519,80983
66,3402890,3517957,2805312,63766,2164747,55444
67,2832579,2810637,2393859,94262,496450,83100
68,2245679,2123879,2010526,51976,156729,55639
69,1673544,1537400,1637967,57348,46127,51409
70,1190555,1063507,1302083,46033,73761,63708
71,801593,707549,1014551,52501,70272,52854
72,513039,446734,754087,56627,24536,52363
73,316247,268442,542252,104568,17666,64479
74,193654,157591,380522,83710,51441,29605
75,112365,87098,262889,98501,17470,57349
76,60513,46473,176406,104421,125626,51910
77,34044,25601,114213,99963,71142,61773
78,16835,16006,72955,69260,49877,73125
79,9686,8596,44006,38567,65646,31367
80,6607,4880,25948,59017,46845,65504
81,4444,1937,14132,79151,68357,33040
82,3061,990,6400,112306,76923,63069
83,1990,593,3455,107855,51741,16175
84,1419,685,2446,132134,62623,30354
85,1028,673,1032,113139,84730,86121
86,775,545,469,164642,46952,61872
87,442,394,335,145310,72825,81969
88,499,323,407,140809,77880,87467
89,448,325,357,201478,74225,95146
90,345,219,439,112807,99464,20583
91,428,186,407,232621,58171,33003
92,236,195,295,224259,95101,77521
93,342,271,206,132383,81582,35814
94,174,331,186,170425,130382,25813
95,128,290,258,95758,91337,113458
96,137,256,350,0,52532,27957
97,266,263,327,0,45946,19759
98,324,240,202,0,106322,61695
99,191,425,222,0,107396,114392
100,76,509,235,0,30831,102795
101,119,546,175,0,37140,77602
102,198,497,114,0,103287,49040
103,221,453,110,0,67485,0
104,141,515,69,0,84348,5542
105,144,354,46,0,35556,33342
106,55,364,97,0,50024,43437
107,128,372,135,0,42341,13506
108,102,228,80,0,36331,11395
109,84,196,47,0,47219,25327
110,117,194,15,0,20524,18293
111,163,171,10,0,34287,11922
112,186,181,46,0,34677,2570
113,178,141,63,0,35786,3181
114,149,111,64,0,29098,1706
115,124,73,50,0,35188,1661
116,81,12,47,0,37231,6000
117,58,14,18,0,41744,4280
118,40,3,2,0,65585,12542
119,36,2,40,0,40500,2947
120,27,2,53,0,32698,0
121,12,2,15,0,25594,0
122,16,3,1,0,38728,0
123,27,12,0,0,2395,0
124,38,10,0,0,5900,0
125,26,3,0,0,15263,0
126,12,1,0,0,0,0
127,4,1,0,0,0,0
