,vx,vy,vz,x,y,z
0,0,0,0,0,0,282
1,74,1,0,0,0,572
2,54,2,0,0,0,3359
3,90,3,11,0,0,20037
4,58,5,22,0,0,6631
5,72,2,17,0,0,3664
6,32,10,80,0,0,5719
7,34,10,139,0,0,6765
8,45,37,135,0,0,9169
9,54,34,169,0,0,16825
10,24,54,236,0,0,62252
11,15,73,247,0,0,74038
12,25,28,393,0,7469,131857
13,19,61,246,0,16485,227460
14,20,142,256,0,812,397749
15,19,212,314,0,1969,474238
16,27,362,710,0,8293,500078
17,9,522,737,0,39891,582531
18,7,754,1071,0,17979,534499
19,13,728,992,0,54727,463863
20,20,628,1059,0,73857,422777
21,47,902,871,0,86111,348332
22,88,1034,1469,0,140723,267401
23,110,1219,1984,0,125107,299415
24,211,1319,2729,0,113667,186290
25,309,1248,3000,0,88201,171259
26,462,1221,3033,0,93592,187728
27,409,1162,3753,0,157283,212172
28,577,1733,3616,0,64661,306253
29,580,1828,4296,0,126827,220719
30,627,2067,4409,0,114701,253613
31,594,1836,4603,0,111585,227667
32,619,2079,4580,0,142676,181415
33,761,2417,4514,0,164359,148802
34,955,2601,4866,0,224796,178855
35,1002,3276,5016,0,211761,204867
36,922,3460,4784,0,245437,280955
37,1113,2923,5493,0,274059,228357
38,902,3120,6126,0,289648,159989
39,1009,3239,6634,0,207435,146112
40,1082,3553,7415,21691,191239,140137
41,1101,3740,7440,59726,229395,206504
42,1160,4003,7671,255475,219700,124459
43,1247,3984,7289,154023,190176,94697
44,1362,3704,8228,133856,261776,72455
45,1365,4016,8928,167144,131498,123664
46,1658,4451,10133,187913,173404,89515
47,2171,5224,11501,219099,166534,144349
48,2882,6654,14025,220816,157264,123725
49,3871,8248,16839,150871,173262,130351
50,4184,9895,22473,197317,208630,224736
51,5245,12706,32110,278535,204519,166245
52,6261,16459,47783,290448,152295,98302
53,9228,22605,66204,195688,260272,70914
54,16048,33764,102982,212322,231397,35871
55,30698,54377,169106,345159,172539,40603
56,60854,100382,275812,268362,121781,74238
57,119731,184882,447001,548442,207161,93076
58,243366,333405,694624,816571,98674,65405
59,482316,578750,1030841,1065049,177943,43253
60,875074,934358,1408851,1160769,154793,63106
61,1386170,1361080,1769607,1014176,143985,77477
62,1926077,1778068,1991200,493750,229484,83524
63,2290598,2026219,1986474,972404,261848,151134
64,2297084,2021414,1737551,657678,236361,89567
65,1963231,1767977,1303892,379593,204738,82986
66,1422817,1355215,858756,414261,140250,132640
67,899472,930577,489680,430977,214358,38087
68,501135,583350,254494,269275,178579,101537
69,260637,348788,120327,567119,298442,150309
70,128552,201024,56200,317649,186341,161329
71,65377,115828,28154,257271,229120,235309
72,32160,67768,14667,222020,188615,263107
73,17269,43506,8504,299142,129212,223631
74,10018,29374,6032,231486,116787,262196
75,6353,20849,4082,115416,210674,250225
76,4875,14153,2638,179408,85702,182953
77,3217,10952,2024,130519,131638,120254
78,2439,9413,1640,129079,125133,154101
79,1847,7455,1382,98343,45461,93897
80,1677,6664,1086,148878,53197,61743
81,2236,5380,834,165185,157923,62232
82,2139,5086,821,159419,203580,87691
83,2235,5312,754,67750,144324,94651
84,1919,4948,796,241281,229367,57251
85,1864,5213,614,164553,243358,55263
86,1569,4328,596,59521,287616,86239
87,1372,3665,508,0,203796,67083
88,1046,3260,357,0,290967,64429
89,1008,2706,430,0,304322,135280
90,1302,2580,699,0,202474,135847
91,1206,2401,725,0,122140,82388
92,869,2104,612,0,127002,162674
93,1246,1692,392,0,136541,49625
94,1309,1424,373,0,109861,54047
95,1100,1218,433,0,87403,40989
96,1251,1254,394,0,106135,86006
97,1072,1410,366,0,134551,21637
98,911,1693,368,0,223154,7936
99,883,1301,277,0,157007,52739
100,852,1115,311,0,104824,17752
101,897,1177,313,0,159601,19299
102,710,938,423,0,151642,53356
103,512,585,364,0,67127,42499
104,556,360,260,0,64484,34929
105,515,303,379,0,83847,50958
106,309,350,497,0,141308,3354
107,150,447,439,0,63115,25617
108,107,311,475,0,48563,0
109,110,307,390,0,103229,20725
110,75,342,448,0,71682,906
111,26,332,437,0,31943,23022
112,12,223,450,0,47108,0
113,15,64,458,0,1631,47490
114,21,127,437,0,4778,5404
115,14,66,201,0,20738,16193
116,15,60,144,0,0,772
117,9,51,140,0,0,1366
118,23,52,94,0,0,48272
119,5,16,56,0,0,23331
120,0,0,29,0,0,0
121,0,0,27,0,0,0
122,0,0,10,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
