,vx,vy,vz,x,y,z
0,0,0,2,0,2397,337
1,0,0,34,0,13441,3237
2,1,9,20,0,25059,6655
3,4,13,28,0,28411,8982
4,4,1,29,0,26597,12338
5,2,11,28,0,8992,14481
6,4,50,18,0,25104,17288
7,2,190,30,0,18361,17802
8,4,209,33,0,25573,13668
9,3,213,40,0,30344,18043
10,2,189,43,0,19999,36826
11,9,167,48,0,35759,24435
12,8,127,68,0,19757,30964
13,8,110,123,0,18111,19373
14,4,138,306,0,10493,15485
15,4,117,236,0,15977,21410
16,6,98,136,0,22923,29473
17,6,102,170,0,11033,20629
18,8,134,228,0,23958,21031
19,8,148,253,0,32548,17769
20,6,181,376,0,26836,10330
21,8,192,361,0,32807,11803
22,9,277,318,0,37866,15243
23,8,308,318,0,37880,28308
24,12,253,440,0,35237,18507
25,23,360,615,0,36425,36904
26,17,395,679,0,31244,25183
27,25,270,607,0,35502,30852
28,55,302,702,0,43357,18662
29,31,221,766,0,37162,23697
30,41,224,704,0,18108,17357
31,22,233,803,0,49512,54520
32,24,233,876,0,20110,40733
33,72,291,1110,0,10782,37159
34,131,379,1140,0,31183,27625
35,73,325,1591,29616,32819,23117
36,110,245,2083,56949,28137,18354
37,60,217,2249,29807,39539,29637
38,60,273,2366,56084,33119,25812
39,153,440,2900,37555,7321,20526
40,160,560,3349,59396,9530,28948
41,335,377,4043,64199,12545,10847
42,338,318,5196,55941,18353,31187
43,400,476,7287,58939,24710,31065
44,357,520,9849,47024,3902,14677
45,543,941,12503,71401,17832,27622
46,1336,1419,16986,35171,17310,23736
47,2782,1658,23361,33918,18087,184714
48,4486,2759,30797,50737,16840,421540
49,7116,3937,40963,35983,14465,579098
50,13447,7307,57210,33195,3312,845002
51,25878,13558,81497,29837,14714,1665625
52,47691,28867,113937,29168,14038,4220793
53,84337,56415,159594,36796,5234,6073064
54,144443,100574,228995,31445,3169,1872981
55,235152,171605,322100,26811,17948,343604
56,353964,281577,441167,22717,28118,59274
57,511839,449956,596148,26442,15754,21902
58,716533,668798,779977,41500,45505,41901
59,958043,927289,1007075,26203,85296,36880
60,1222662,1244801,1236026,35876,266581,15766
61,1484513,1556770,1430651,56581,983101,11557
62,1686371,1824313,1585824,251486,2507156,16071
63,1797146,1981252,1651675,7953852,4022014,30667
64,1790692,1981366,1619224,7996544,4153704,29622
65,1686341,1837243,1488247,263925,2573524,38872
66,1496870,1560953,1300798,48826,1108697,19701
67,1238723,1238995,1087730,22272,298371,19207
68,965294,925550,885108,21518,38652,18509
69,716358,652407,696481,29511,8239,19481
70,506017,436130,523440,48270,14402,20162
71,345380,274367,385495,36878,23048,12223
72,228818,165974,273885,37799,19245,25119
73,148932,96597,184755,33562,9653,58988
74,88824,54758,124254,30440,9534,38422
75,51463,29693,77723,32928,15136,28943
76,27502,16119,50061,38653,52327,27648
77,15383,8235,29929,37826,17274,17649
78,8825,4140,18022,45184,7929,9755
79,6246,3211,9040,48383,29215,23805
80,3533,1977,5143,32148,13058,36216
81,1741,1771,2885,23072,17380,18969
82,1840,1806,2169,13331,11282,19263
83,1348,1591,1180,29777,21178,18884
84,873,1470,732,30877,23616,27897
85,871,1321,587,62706,19092,44947
86,802,858,335,69478,7734,32717
87,521,541,144,77400,26477,24890
88,348,581,14,54351,8218,31737
89,509,469,21,31488,20153,20837
90,220,820,13,31602,25440,32492
91,97,787,27,45487,20587,21290
92,124,648,71,26586,45731,29771
93,124,562,52,11331,52871,44327
94,64,368,41,0,20196,38888
95,246,218,20,0,48733,14253
96,208,219,0,0,18925,16284
97,89,107,0,0,11866,45994
98,40,109,0,0,6682,23970
99,34,116,1,0,19432,3257
100,63,74,0,0,14891,5955
101,43,78,0,0,6889,23301
102,61,103,1,0,19682,10312
103,57,103,0,0,6206,12747
104,44,81,0,0,24512,27180
105,21,29,0,0,45569,10201
106,27,20,0,0,8245,23769
107,22,10,1,0,11300,28710
108,20,14,0,0,22993,1867
109,8,26,0,0,10258,1181
110,13,34,0,0,18890,5312
111,8,64,0,0,28148,15825
112,9,62,0,0,24356,4788
113,10,37,0,0,27812,3171
114,19,18,0,0,39397,0
115,7,16,1,0,13176,6545
116,9,23,0,0,17598,7004
117,10,20,0,0,9217,3940
118,8,20,0,0,11550,2261
119,17,8,1,0,37333,6326
120,16,14,0,0,35108,5966
121,11,31,0,0,30053,2356
122,10,19,0,0,23512,0
123,4,32,0,0,16024,0
124,1,12,0,0,22143,0
125,1,0,0,0,26318,0
126,0,1,0,0,49666,0
127,0,0,0,0,13038,0
