,x,y,z,vx,vy,vz
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,586,0,0,0,0
28,0,2694,0,0,0,0
29,0,1769,0,0,0,0
30,0,1174,0,0,0,0
31,0,1745,0,0,0,0
32,0,2141,0,0,0,0
33,0,1674,722,0,0,0
34,0,2242,1180,0,0,0
35,0,3808,0,0,0,0
36,0,2961,77,0,0,0
37,0,2757,296,0,0,0
38,0,2307,343,0,0,0
39,0,2422,378,0,0,0
40,0,2237,262,0,0,0
41,0,2260,206,0,0,0
42,0,2489,619,0,0,0
43,0,2572,415,0,0,0
44,0,2229,619,0,0,0
45,0,3839,607,0,0,0
46,0,3831,1066,0,0,0
47,0,4365,1613,0,0,0
48,0,5067,1520,0,0,0
49,0,5735,2354,0,0,0
50,0,9056,3061,0,0,0
51,0,8250,3215,0,0,0
52,0,9208,3660,0,0,0
53,322,13112,6304,0,0,0
54,618,12376,5982,0,0,0
55,1467,12383,10657,0,0,0
56,1768,12004,15919,0,0,0
57,1798,14035,17606,0,0,0
58,4551,17667,21054,0,0,0
59,8238,17935,18646,0,0,0
60,20177,16026,20806,0,0,0
61,39325,16783,25058,0,0,0
62,66036,16320,30498,0,0,0
63,113838,21186,41870,253782,260456,251527
64,112426,27130,35419,247328,240654,249583
65,64219,17176,24931,0,0,0
66,36041,15306,23660,0,0,0
67,18200,14903,20019,0,0,0
68,7038,16167,19704,0,0,0
69,3648,14655,19124,0,0,0
70,1067,15504,20489,0,0,0
71,333,12560,15363,0,0,0
72,0,12791,15610,0,0,0
73,0,15218,12787,0,0,0
74,0,13236,9794,0,0,0
75,0,10895,7300,0,0,0
76,0,9321,5454,0,0,0
77,0,7517,4177,0,0,0
78,0,4393,4163,0,0,0
79,0,4959,2998,0,0,0
80,0,3097,3650,0,0,0
81,0,3741,2487,0,0,0
82,0,3933,2322,0,0,0
83,0,2684,2319,0,0,0
84,0,2262,1307,0,0,0
85,0,1960,881,0,0,0
86,0,2386,716,0,0,0
87,0,2024,765,0,0,0
88,0,2098,842,0,0,0
89,0,1205,1024,0,0,0
90,0,456,1300,0,0,0
91,0,427,2008,0,0,0
92,0,259,2629,0,0,0
93,0,666,1106,0,0,0
94,0,461,149,0,0,0
95,0,547,0,0,0,0
96,0,1023,0,0,0,0
97,0,905,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
