,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,2134,0
17,0,0,0,0,2324,0
18,0,0,0,0,5029,0
19,0,0,0,0,4783,297
20,0,0,0,0,3542,4124
21,0,0,0,0,3863,0
22,0,0,0,0,3219,2270
23,0,0,0,0,3168,1254
24,0,0,0,0,2807,190
25,0,0,0,0,2227,428
26,0,0,0,0,3496,1587
27,0,0,0,0,2959,1620
28,0,0,0,0,5051,1107
29,0,0,0,0,4062,594
30,0,0,0,0,2577,831
31,0,0,0,0,2906,369
32,0,0,0,0,2361,683
33,0,0,0,0,2976,739
34,0,0,0,0,3215,612
35,0,0,0,0,3658,834
36,0,0,0,0,3982,795
37,0,0,0,0,4385,909
38,0,0,0,0,4737,1478
39,0,0,0,0,3797,1798
40,0,0,0,0,5115,1306
41,0,0,0,0,5341,2527
42,0,0,0,0,4179,1477
43,0,0,0,0,5916,2702
44,0,0,0,0,6441,2185
45,0,0,0,0,4988,2678
46,0,0,0,0,5783,2518
47,0,0,0,0,5393,2862
48,0,0,0,0,7608,3561
49,0,0,0,0,7875,3897
50,0,0,0,0,8526,4517
51,0,0,0,0,8348,4992
52,0,0,0,0,9063,5408
53,0,0,0,0,10070,7620
54,0,0,0,0,12647,8955
55,0,0,0,312,11515,10702
56,0,0,0,1553,11496,9632
57,0,0,0,979,12686,10475
58,0,0,0,3442,13217,13692
59,0,0,0,9026,11373,16752
60,0,0,0,21738,10423,18217
61,0,0,0,45180,12389,16577
62,0,0,0,79053,13586,27189
63,308425,303375,306945,141245,27002,54126
64,293031,298081,294511,142845,24881,61928
65,0,0,0,71518,14395,24335
66,0,0,0,41873,11493,24851
67,0,0,0,24325,13075,17987
68,0,0,0,12347,10950,14214
69,0,0,0,4369,9415,12979
70,0,0,0,1334,6366,17150
71,0,0,0,317,10011,13577
72,0,0,0,0,8863,15658
73,0,0,0,0,8274,13794
74,0,0,0,0,7967,10428
75,0,0,0,0,9427,10817
76,0,0,0,0,11642,8957
77,0,0,0,0,7372,7616
78,0,0,0,0,7778,6668
79,0,0,0,0,7306,6565
80,0,0,0,0,7324,5278
81,0,0,0,0,6345,5403
82,0,0,0,0,4179,5994
83,0,0,0,0,4635,4833
84,0,0,0,0,4688,4430
85,0,0,0,0,4471,4246
86,0,0,0,0,3728,3286
87,0,0,0,0,3886,3281
88,0,0,0,0,4636,2963
89,0,0,0,0,3918,1210
90,0,0,0,0,3833,1939
91,0,0,0,0,3497,3814
92,0,0,0,0,3597,2304
93,0,0,0,0,2199,2113
94,0,0,0,0,2213,2094
95,0,0,0,0,2354,1392
96,0,0,0,0,3086,1977
97,0,0,0,0,2064,3264
98,0,0,0,0,1920,1969
99,0,0,0,0,3067,1624
100,0,0,0,0,4083,1891
101,0,0,0,0,4422,2294
102,0,0,0,0,3329,2528
103,0,0,0,0,4028,2004
104,0,0,0,0,2177,1982
105,0,0,0,0,2440,1456
106,0,0,0,0,3688,617
107,0,0,0,0,3720,335
108,0,0,0,0,3143,325
109,0,0,0,0,4205,0
110,0,0,0,0,6453,0
111,0,0,0,0,675,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
