,vx,vy,vz,x,y,z
0,0,0,0,1575,229,20179
1,0,0,0,4170,270,37410
2,0,0,0,5529,275,49290
3,0,0,0,5023,274,60081
4,0,0,0,6120,391,71267
5,0,0,72,14267,3512,83967
6,0,0,164,11843,6987,103085
7,0,0,80,8982,7104,125110
8,0,0,65,8998,13917,150377
9,0,0,176,10502,31891,179329
10,0,0,222,35346,15363,208896
11,0,0,332,34102,8410,231932
12,0,0,427,27655,20891,255432
13,0,0,628,55516,19087,274547
14,0,0,1299,45270,28962,294377
15,0,0,1582,29171,29791,319444
16,0,0,2780,38182,27398,343634
17,0,0,3614,50238,27379,366941
18,0,0,4421,47065,26665,383863
19,0,0,4835,57675,20416,404386
20,0,0,5229,119033,45047,424672
21,0,0,6552,121063,69891,439811
22,0,0,7572,111773,72930,460002
23,0,0,10401,94262,75381,483802
24,0,0,14280,89257,89660,505108
25,0,0,20183,92596,84119,526411
26,0,0,29500,124130,92374,542439
27,0,959,40887,127444,152979,557327
28,0,637,52184,157239,201914,574096
29,0,316,60971,142136,228790,596379
30,0,239,69807,173446,242833,611213
31,0,0,78935,211434,246814,624899
32,0,0,88545,203772,221623,639141
33,577,0,97107,227228,234460,658286
34,2778,0,106591,310917,220636,673706
35,4198,0,110246,368203,279947,693071
36,2203,0,119012,426132,330938,705714
37,1172,431,122740,419862,368084,721179
38,1098,843,132736,427661,426994,734632
39,647,1081,134261,397896,501869,753112
40,2390,544,141908,503999,524457,778714
41,1567,1292,145606,444751,526790,787934
42,1923,1981,152252,448730,511217,811499
43,4130,1861,156057,578551,582204,820967
44,4160,1799,158634,510276,677466,840397
45,1754,1549,162489,471736,782487,853541
46,2464,871,165862,558787,649437,858563
47,3821,1068,169697,623381,587117,877734
48,5011,2266,171572,714680,655960,893540
49,2119,602,174866,725548,623297,906652
50,1112,537,177519,680097,651294,915784
51,790,11,177466,646591,626676,925078
52,35,3,180680,711596,518597,927727
53,1845,25,180552,833452,562628,937850
54,3244,7,181809,885380,734262,941632
55,893,566,179306,839245,627421,942836
56,186,943,181872,862534,765460,962298
57,299,83,183293,743997,742803,964397
58,51,135,181760,860004,745816,980122
59,1047,271,201292,948496,837677,993223
60,9943,3604,1576746,964463,870690,1008551
61,346694,297150,19531051,977749,909634,1015422
62,5040944,4958362,16280680,902892,833070,1003719
63,17616702,17590224,3514679,1035012,989298,979667
64,17518934,17643331,205921,862767,1048870,860579
65,4940204,5017095,4145,790199,927353,765512
66,311621,309577,129,971107,940284,679707
67,5126,3747,187,1121211,869930,595682
68,241,2081,168,1016851,824334,530315
69,226,561,179,892266,1029172,480863
70,727,823,121,1007139,953793,426586
71,240,886,109,864368,1004561,386962
72,23,472,111,717906,931633,346752
73,32,602,122,798772,771554,314506
74,1206,395,78,669210,884641,281592
75,5073,1081,0,779207,918962,249937
76,4291,2959,0,926696,912483,224206
77,1686,3039,0,813795,868111,206567
78,2854,1508,0,599059,838431,185763
79,1254,102,0,640918,727446,161291
80,332,12,0,588318,564645,140454
81,14,659,0,651407,447073,128632
82,5,1782,0,753790,498526,118168
83,3,442,0,709637,683758,111422
84,740,209,0,626870,706256,97547
85,1943,173,0,646070,609577,89557
86,1093,0,0,636816,575574,79579
87,1037,47,0,530113,616998,68357
88,825,862,0,410110,587909,59597
89,852,1295,0,361619,583973,51147
90,975,601,0,352797,595856,45771
91,0,172,0,364734,516577,40452
92,0,0,0,270583,389132,37468
93,0,0,0,289723,300168,35055
94,0,0,0,296891,257942,31782
95,0,0,0,293461,221524,27239
96,0,326,0,287162,215547,24990
97,0,1680,0,226593,336110,23830
98,0,575,0,180877,324547,22981
99,0,0,0,176478,216420,19260
100,0,0,0,163692,203022,16957
101,0,0,0,150959,153825,15566
102,0,0,0,140558,144961,12874
103,0,0,0,120592,129038,11752
104,0,0,0,101775,85495,9635
105,0,0,0,137503,52629,9332
106,0,0,0,102052,77381,7618
107,0,0,0,55396,85684,4981
108,0,0,0,86413,54621,3343
109,0,0,0,55119,25412,2588
110,0,0,0,37108,21431,2345
111,0,0,0,33191,8266,2601
112,0,0,0,25122,31993,1198
113,0,0,0,27879,21902,62
114,0,0,0,29228,2298,0
115,0,0,0,12903,2135,0
116,0,0,0,19142,5008,0
117,0,0,0,31366,15027,0
118,0,0,0,32423,6687,0
119,0,0,0,14510,10571,0
120,0,0,0,11600,13224,0
121,0,0,0,16764,1773,0
122,0,0,0,11186,632,0
123,0,0,0,5385,567,0
124,0,0,0,2031,516,0
125,0,0,0,1793,487,0
126,0,0,0,1218,464,0
127,0,0,0,266,382,0
