,vx,vy,vz,x,y,z
0,0,0,5,0,0,0
1,0,27,66,0,51,0
2,2,36,192,73,154,0
3,7,62,611,218,217,0
4,25,140,834,362,295,0
5,64,199,1475,466,405,0
6,167,280,2967,524,584,0
7,472,292,4872,640,721,19
8,552,474,6396,904,877,62
9,710,808,8540,1344,1095,196
10,982,1258,10723,1634,1290,394
11,1021,1374,13684,1754,1724,457
12,1163,1992,17007,2357,2042,608
13,1553,2589,20546,2944,2519,735
14,2132,2732,23270,3803,2910,922
15,3090,3317,25024,3859,3630,1087
16,3733,4191,28713,4245,4679,1325
17,5139,5506,28634,4592,5487,1622
18,6761,6100,30989,5083,6009,1940
19,8163,7268,34331,5940,6659,2242
20,9631,8190,36534,7004,7625,2542
21,10396,9590,38119,7903,8620,3094
22,10683,10468,36145,8955,8796,3461
23,12196,11832,37225,9683,9577,3936
24,13823,15016,38488,10291,10468,4450
25,15739,16883,36973,11255,12190,5190
26,17494,17559,35335,13506,13183,6287
27,20409,18298,34799,14824,14664,7287
28,21160,19789,34164,15669,16200,8478
29,22587,22200,34785,16807,17526,9601
30,24350,25663,33611,17168,18650,10721
31,25787,27432,33104,18222,20002,11796
32,28936,28870,33641,19568,21686,12900
33,28989,29983,32232,20819,23259,14182
34,30808,32393,32521,21950,25226,15658
35,31245,33869,30770,22260,27110,17287
36,34168,34097,28177,23543,30318,18803
37,34711,32834,26280,25475,32597,20073
38,33924,33621,26026,28012,33272,21500
39,34682,35603,24828,27414,34730,22739
40,34480,37386,25372,28237,34706,23710
41,34951,36009,25526,29954,36156,24327
42,33877,35461,24249,31941,38014,24380
43,32872,34095,24555,31051,35959,24349
44,30325,33241,24003,32260,37908,24654
45,28717,32980,24405,32137,36739,24705
46,26320,31827,23799,28990,37899,24247
47,24318,30558,22350,28466,35767,24170
48,21381,29186,20647,27104,33726,24080
49,19850,27610,18487,26826,29619,24037
50,17127,25148,16903,23445,26921,24041
51,15476,21878,16129,23812,26186,24137
52,14101,19269,15115,21192,23741,23601
53,12379,16608,14219,18887,20449,24026
54,10917,14519,13689,15568,17671,25104
55,9512,12377,12072,12884,14822,25203
56,8493,10952,11007,15763,13781,26195
57,7413,9291,10112,14180,13551,25549
58,6379,8404,9498,12445,12235,26855
59,5289,7318,8488,11629,13280,28322
60,4489,6438,7845,12445,13320,28304
61,4189,5752,7005,12472,15002,27996
62,3708,5043,6494,12218,14190,28244
63,3841,4658,6510,11470,14673,27857
64,4064,4508,6764,11217,13581,27305
65,4440,4791,7960,10033,13401,28580
66,4841,4838,9110,11195,12314,28865
67,5273,5417,11684,12204,11737,30834
68,5836,5991,14350,12831,11468,30619
69,6858,6897,17604,14096,12840,34431
70,8143,8162,21017,16686,13419,40928
71,9456,9145,25427,18467,13189,42371
72,10787,10750,28587,19046,14522,43217
73,12951,12059,31520,21374,18214,46558
74,15113,13842,33370,21189,20513,46566
75,17047,15489,34097,23330,22086,51185
76,18638,17371,33183,22928,23574,53627
77,21104,19463,32856,24561,25811,54103
78,22976,22893,32127,27646,27161,48278
79,25742,24682,30485,29646,27720,48630
80,26166,25672,26639,32856,27017,46974
81,30892,26586,24174,33149,27627,42374
82,31504,28795,20309,34304,28086,39554
83,32953,30560,18489,32036,27807,34251
84,34582,32056,15322,32935,27535,28952
85,35192,31107,13151,31917,26802,21935
86,35866,31051,10880,29637,25787,21000
87,36603,30513,8669,30063,26077,17083
88,35423,29360,6611,29027,24246,13557
89,34302,30055,5666,27947,23264,11275
90,35229,29991,3620,27488,22403,13114
91,33365,28018,3083,26429,21034,9710
92,30696,25608,2465,25482,19475,8999
93,30793,24893,2220,23518,18730,7361
94,27878,21507,2056,21737,18269,6333
95,25313,21592,1499,19912,17867,5823
96,24059,21457,796,18242,16708,4456
97,22919,20998,607,16904,15666,2870
98,20917,20666,424,15907,14289,2572
99,20535,18570,159,14742,12940,2627
100,18939,17535,121,13912,11364,2460
101,17232,14754,87,12481,9969,1511
102,15067,14743,141,12019,9380,1530
103,12075,13233,71,11272,8004,1521
104,11436,11483,29,10796,7384,1336
105,10096,10763,24,10102,6948,775
106,8573,10502,8,9813,6727,850
107,7994,8857,7,8218,6440,792
108,7720,6907,9,7398,5657,909
109,6076,5340,4,6446,4759,741
110,5266,4233,0,5455,4195,330
111,4880,3879,0,4526,4296,121
112,3537,2958,0,4232,3561,131
113,3681,2621,0,3655,3189,27
114,2784,1945,0,2958,2376,0
115,2066,1600,0,2309,1954,0
116,1491,1100,0,1788,1873,0
117,847,670,0,1240,1417,0
118,983,534,0,917,1157,0
119,574,266,0,705,815,0
120,418,220,0,696,573,0
121,259,130,0,678,435,0
122,162,69,0,470,281,0
123,66,50,0,233,148,0
124,42,3,0,150,57,0
125,18,5,0,42,59,0
126,0,0,0,0,59,0
127,0,0,0,0,20,0
