,vx,vy,vz,x,y,z
0,1,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,1,0,0,0
3,0,2,2,0,0,0
4,0,2,4,0,0,0
5,1,0,3,0,0,0
6,2,4,3,0,0,0
7,1,9,10,0,0,0
8,0,6,5,0,0,0
9,3,13,12,0,0,0
10,6,10,11,0,0,0
11,12,14,13,0,0,0
12,14,13,24,0,0,0
13,14,21,41,0,0,0
14,19,19,34,0,0,0
15,37,32,63,0,0,0
16,45,54,67,0,0,0
17,49,68,94,0,0,0
18,80,90,122,0,0,0
19,111,118,172,0,0,0
20,120,178,221,0,0,0
21,184,197,280,0,0,0
22,239,276,359,0,0,0
23,295,337,523,0,0,0
24,368,467,655,0,0,0
25,502,586,831,0,0,0
26,625,704,1047,0,0,0
27,877,965,1421,0,0,0
28,1169,1254,1843,0,0,0
29,1428,1569,2253,0,0,0
30,1910,1994,2943,0,0,0
31,2611,2554,3639,0,0,0
32,3257,3295,4595,0,0,0
33,4263,4212,5953,0,0,0
34,5616,5457,7573,0,0,0
35,7255,6975,9276,0,0,0
36,9309,9046,12085,0,0,0
37,12065,11756,15262,0,0,0
38,15480,15297,18975,0,0,0
39,20115,19477,24015,0,0,0
40,25564,25819,30439,0,0,0
41,33146,33104,38196,0,0,0
42,42367,41966,48259,0,0,0
43,54738,53790,60911,0,0,0
44,70013,68923,76572,0,0,0
45,88786,87019,95576,0,0,0
46,112598,110672,119619,0,0,0
47,141973,140964,149282,0,0,0
48,179171,177927,185623,0,0,0
49,223783,222999,228309,0,0,0
50,278021,277485,280527,0,0,0
51,342215,342490,342424,0,0,0
52,416320,417049,412066,0,0,9
53,501134,501192,491423,0,0,2
54,592959,593489,579719,33,54,6
55,688163,691691,672183,70,47,67
56,787429,789134,766581,54,122,267
57,883864,885813,859689,212,414,518
58,976808,975872,950044,918,1104,2106
59,1058078,1058802,1031882,7175,7678,7453
60,1131039,1128854,1099888,52569,55653,35139
61,1182381,1185398,1156535,413077,405772,252861
62,1220770,1221521,1194739,2728617,2708083,2502172
63,1241284,1239259,1216892,9203126,9245561,12556218
64,1240140,1242105,1222784,9159468,9148740,8486471
65,1220227,1223134,1207350,2696111,2708276,815270
66,1186271,1184794,1172912,407383,386949,58728
67,1128801,1130047,1122937,48254,47887,6581
68,1061101,1060231,1057585,6765,7183,1389
69,977468,977105,980852,1452,1711,405
70,886480,886072,892430,362,399,106
71,788860,789264,802549,105,88,0
72,690481,691301,706472,17,44,0
73,592433,594099,612035,0,3,0
74,500667,501326,521398,0,0,0
75,417613,416719,436515,0,0,0
76,340970,342429,360604,0,0,0
77,278161,278494,294748,0,0,0
78,223601,222410,238101,0,0,0
79,179000,177895,190976,0,0,0
80,142689,141776,152558,0,0,0
81,111971,111656,120688,0,0,0
82,88665,88093,94986,0,0,0
83,69171,68619,74495,0,0,0
84,54314,53660,58227,0,0,0
85,42148,42344,45658,0,0,0
86,32793,32401,35568,0,0,0
87,25213,25235,27617,0,0,0
88,19815,19800,21435,0,0,0
89,15402,15205,16895,0,0,0
90,11687,11683,12764,0,0,0
91,8994,9209,9915,0,0,0
92,6989,7047,7719,0,0,0
93,5452,5356,5898,0,0,0
94,4194,4220,4533,0,0,0
95,3112,3219,3481,0,0,0
96,2485,2475,2610,0,0,0
97,1853,1827,2100,0,0,0
98,1378,1458,1556,0,0,0
99,1096,1086,1131,0,0,0
100,851,846,902,0,0,0
101,595,626,727,0,0,0
102,470,525,511,0,0,0
103,321,399,403,0,0,0
104,279,302,339,0,0,0
105,216,221,218,0,0,0
106,145,151,189,0,0,0
107,146,137,132,0,0,0
108,113,103,118,0,0,0
109,61,69,87,0,0,0
110,40,65,64,0,0,0
111,42,47,55,0,0,0
112,20,39,38,0,0,0
113,22,43,32,0,0,0
114,19,29,19,0,0,0
115,9,19,11,0,0,0
116,4,15,10,0,0,0
117,8,8,6,0,0,0
118,0,6,5,0,0,0
119,3,6,2,0,0,0
120,4,4,3,0,0,0
121,5,2,1,0,0,0
122,3,3,1,0,0,0
123,1,0,1,0,0,0
124,3,0,0,0,0,0
125,0,2,0,0,0,0
126,1,0,0,0,0,0
127,1,0,0,0,0,0
