,vx,vy,vz,x,y,z
0,0,1,0,0,0,4
1,0,0,0,0,0,8
2,1,0,2,0,0,11
3,0,1,5,0,0,11
4,0,1,2,0,0,45
5,0,3,10,0,0,25
6,2,1,14,0,0,24
7,0,0,15,0,0,33
8,1,0,30,0,0,29
9,1,0,40,0,0,30
10,2,2,41,0,0,33
11,1,4,44,0,0,50
12,3,2,53,0,0,118
13,12,2,58,0,0,41
14,10,9,62,0,0,34
15,18,6,52,4,0,32
16,21,22,60,15,0,33
17,28,20,69,13,0,31
18,29,33,74,13,0,34
19,35,51,90,10,0,29
20,61,65,105,9,0,28
21,88,83,131,9,0,31
22,113,115,194,10,0,32
23,144,166,289,11,0,32
24,219,268,347,8,0,28
25,328,343,493,7,0,27
26,489,533,671,6,0,25
27,777,769,963,8,0,23
28,1170,1132,1446,7,0,24
29,1698,1727,2128,6,0,22
30,2596,2592,3072,8,0,23
31,3814,3783,4483,4,0,23
32,5528,5651,6300,5,0,23
33,8097,8124,8827,4,0,25
34,11454,11436,12105,3,0,27
35,15714,15992,16418,3,0,22
36,21523,22004,22078,21,0,25
37,28922,29160,29291,16,0,24
38,37960,37635,37387,14,0,26
39,49120,49305,47965,17,0,26
40,61859,62522,60268,10,0,30
41,78653,78284,74193,18,0,43
42,97173,97039,91754,21,8,42
43,119613,118439,111338,15,25,36
44,142726,143647,132482,20,6,40
45,167671,167847,154762,14,57,38
46,188484,189207,176824,49,71,38
47,208720,208358,197304,235,346,57
48,228925,228811,218200,996,1084,68
49,248594,249997,240984,3527,2800,72
50,269692,269224,264183,8547,8087,141
51,289394,288746,286072,22243,20266,187
52,307044,307352,308323,44434,44149,466
53,322107,321058,327995,83540,80114,2191
54,334013,332647,344054,139709,137600,10754
55,345073,344801,356870,220863,217520,45984
56,353056,352255,368727,318130,313109,149561
57,358556,358332,375145,435166,433090,349552
58,361873,361567,379481,569012,574873,609536
59,365728,365012,382567,703660,708174,881928
60,365666,366808,383990,848953,842283,1126733
61,369127,368050,383253,965801,959474,1305346
62,370242,369491,384153,1042884,1048989,1423204
63,370077,370334,381544,1099719,1094487,1460175
64,370851,370131,381071,1098103,1093787,1399807
65,370557,369295,377405,1047263,1045575,1260002
66,368812,370034,374400,954545,960549,1053867
67,366943,368851,372325,839433,850356,814332
68,366270,365795,366972,710450,716360,565794
69,362205,363201,362546,574469,578665,333365
70,358903,359232,355245,440278,445669,162029
71,352332,353647,347522,320069,324150,59129
72,345186,345620,337420,224540,223517,13965
73,334338,335898,325008,145204,142543,2639
74,321852,322591,311763,85693,85364,546
75,307370,306999,295263,47069,45154,92
76,289407,289899,277577,22841,20857,39
77,270034,270388,257707,9866,9238,51
78,249531,249752,238392,3430,3594,52
79,228932,229724,217172,1460,1067,42
80,209878,207831,197092,442,171,30
81,189356,188814,179009,146,53,24
82,167197,166884,159213,88,29,15
83,142514,142578,137783,36,0,9
84,119027,119041,116325,11,0,8
85,97054,96200,97344,8,0,9
86,78230,77730,80148,9,0,9
87,62141,62317,66128,7,0,7
88,49212,49065,53030,32,0,9
89,38088,37988,42240,3,0,8
90,28978,28780,33686,2,0,9
91,21698,21484,25661,3,0,7
92,15872,15958,19697,2,0,7
93,11266,11406,14286,3,0,7
94,8083,8152,10251,2,0,4
95,5517,5577,7245,2,0,2
96,3804,3798,5063,2,0,2
97,2559,2577,3570,2,0,0
98,1691,1804,2469,0,0,0
99,1181,1185,1647,0,0,0
100,773,734,1146,0,0,0
101,521,496,776,0,0,0
102,329,345,520,0,0,0
103,258,216,368,0,0,0
104,152,142,279,0,0,0
105,99,88,186,0,0,0
106,69,62,128,0,0,0
107,43,36,96,0,0,0
108,35,29,60,0,0,0
109,19,18,49,0,0,0
110,19,11,45,0,0,0
111,19,5,23,0,0,0
112,13,6,18,0,0,0
113,8,3,9,0,0,0
114,11,6,12,0,0,0
115,7,0,10,0,0,0
116,3,4,7,0,0,0
117,5,0,4,0,0,0
118,4,2,2,0,0,0
119,2,1,4,0,0,0
120,2,1,3,0,0,0
121,1,2,0,0,0,0
122,1,4,2,0,0,0
123,0,2,0,0,0,0
124,1,0,2,0,0,0
125,0,0,3,0,0,0
126,0,0,1,0,0,0
127,0,0,0,0,0,0
