,vx,vy,vz,x,y,z
0,0,0,1,0,0,638
1,0,0,5,0,3,1696
2,5,0,22,62,15,1947
3,0,0,30,88,76,2578
4,0,58,26,77,92,3431
5,26,28,50,69,78,5424
6,46,57,53,89,65,4802
7,38,54,71,90,60,4346
8,22,42,120,145,54,4947
9,80,118,175,150,51,7328
10,122,142,209,245,152,7599
11,65,55,184,247,103,6489
12,167,72,266,253,107,6570
13,224,158,328,361,214,7792
14,111,266,415,441,231,9675
15,434,464,656,436,333,9669
16,464,462,816,635,358,9448
17,642,421,954,598,618,12102
18,617,684,1187,739,590,13026
19,635,813,1406,576,720,12404
20,761,1026,1630,657,944,13386
21,1034,716,1865,1116,972,14001
22,1050,996,2109,1275,1500,17525
23,1112,955,2296,1221,1667,17298
24,1492,1425,2506,1641,1946,16540
25,1449,1342,2678,1323,1952,18513
26,1520,1549,3237,1634,1864,23866
27,1522,1726,3602,1965,2932,25655
28,1813,1826,3898,2605,2670,24627
29,2524,2544,4673,2640,2407,24219
30,3441,3198,5821,2782,2887,27995
31,4789,4143,6809,3242,3163,32668
32,5525,5549,7665,3298,3361,31239
33,6262,6249,8828,3793,4211,30106
34,7691,7689,10131,4372,5559,36865
35,7951,9405,11468,5391,5982,42883
36,9462,9968,13368,6467,7105,40063
37,11179,10665,15162,7162,7635,39373
38,11805,11370,16749,8417,9838,41725
39,13265,12837,18165,10550,11544,51298
40,15227,13534,20105,12676,11752,52133
41,15239,15211,22498,13584,13798,51971
42,15041,17114,25328,15594,15208,54786
43,17170,17146,28750,17959,17599,70051
44,20268,20579,34297,20704,18943,75494
45,28216,28387,41385,23524,21770,72223
46,36887,40099,48330,25427,25022,71685
47,49528,48453,54519,28614,30630,87992
48,59685,59110,61309,33300,33592,97713
49,68630,70478,68613,41860,38135,92717
50,77109,78558,74542,45974,45440,91101
51,87903,84842,81861,53239,50795,109398
52,93931,91189,90126,63040,59036,136932
53,99138,96630,97064,71347,67745,130636
54,105683,102537,103381,80872,76713,124344
55,109467,111337,109773,92957,87249,144170
56,115184,114543,117129,97815,99471,192458
57,120112,123301,124648,116913,113891,191552
58,127566,124108,135563,136982,136792,178075
59,132393,133367,146863,158813,163074,212186
60,139266,140797,156704,184487,183699,344053
61,148394,145732,164591,211994,207862,297578
62,154814,152963,168060,236401,233419,200798
63,154145,157058,167330,242446,241590,130973
64,157581,159944,162447,247050,244640,87133
65,152978,150978,154490,233547,234172,55115
66,147952,149909,144487,208572,218030,34925
67,138515,144869,132898,183285,189233,23898
68,135036,134302,121285,160842,163482,16336
69,125743,126324,111065,138465,140739,11871
70,120487,118631,100767,116473,120480,8595
71,115989,119528,91984,100825,102247,6413
72,107380,108499,84606,91392,86243,5056
73,104975,102840,77410,77654,76138,3639
74,99115,96733,71491,65389,67961,2623
75,91638,90708,66640,60260,57343,2078
76,85544,85108,60624,48913,50553,1890
77,76946,76733,54090,41205,44416,1748
78,69215,68668,47610,34991,38592,1300
79,60783,58482,41502,31868,33244,888
80,48556,48739,36331,28994,29622,679
81,38428,38146,31810,25238,26389,436
82,29190,28464,27628,22274,21962,399
83,21099,19474,24663,18950,19126,212
84,16459,16852,22807,15312,16395,231
85,16138,16248,21122,14786,14578,174
86,15377,15484,19955,15314,11374,178
87,14208,13013,18085,11751,10629,73
88,13005,13664,16426,10344,9684,47
89,12061,12219,15407,9947,8953,74
90,10815,11027,14429,9096,8318,174
91,9616,9289,13062,7703,6876,36
92,8906,9061,11846,6662,6243,40
93,7761,8476,10723,5312,5541,49
94,6388,6967,9505,4264,5243,60
95,5256,6107,8225,4233,4518,14
96,4701,4516,7193,3965,4378,17
97,3198,3353,6356,3270,3554,20
98,2576,2586,5418,2641,3162,21
99,1658,2146,4587,2159,2754,26
100,1584,1795,4330,1849,2584,26
101,1386,1791,3898,1482,1790,26
102,1191,1568,3900,1173,902,29
103,1190,1248,3626,990,660,27
104,1185,1517,3014,1220,757,0
105,1133,1150,2667,1151,722,0
106,1000,897,2341,962,674,0
107,1183,852,2037,621,641,0
108,731,872,1731,634,616,0
109,603,687,1564,540,748,0
110,605,629,1440,568,520,0
111,497,459,1256,421,447,0
112,190,371,1017,261,509,0
113,204,435,808,310,524,0
114,106,194,675,284,592,0
115,201,109,597,171,576,0
116,73,158,628,289,499,0
117,147,117,612,52,184,0
118,116,123,517,53,132,0
119,163,91,382,0,175,0
120,73,21,261,0,215,0
121,102,0,218,0,158,0
122,30,22,169,0,134,0
123,4,6,134,0,174,0
124,21,0,84,0,207,0
125,4,0,30,0,93,0
126,8,0,22,0,14,0
127,0,0,9,0,8,0
