,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,7,0,0,0
10,0,0,3,0,0,0
11,0,0,9,0,0,0
12,0,0,18,0,0,0
13,0,2,5,0,0,0
14,0,0,15,0,0,0
15,0,0,1,0,0,0
16,0,2,13,0,0,0
17,0,4,16,0,0,29
18,0,1,7,0,0,24
19,2,5,10,0,0,22
20,0,17,7,0,0,17
21,19,21,21,0,0,13
22,18,23,29,0,0,13
23,23,16,42,0,0,12
24,16,31,33,0,0,9
25,13,58,61,0,0,8
26,41,34,118,0,0,7
27,43,59,162,0,0,7
28,52,70,185,0,0,59
29,174,150,239,0,0,44
30,133,187,277,0,0,24
31,298,408,412,0,0,20
32,450,437,527,65,0,45
33,464,563,687,16,0,155
34,655,935,980,17,0,108
35,710,733,1202,13,0,286
36,1061,1163,1546,12,0,365
37,1497,1351,1993,69,36,336
38,1741,1828,2639,47,35,352
39,2314,2125,3310,83,27,643
40,2857,3085,4311,60,28,796
41,3726,4302,5538,140,23,893
42,4808,4804,7065,75,29,933
43,6321,6458,8905,63,32,1421
44,9144,9231,12223,61,126,2184
45,14699,15729,17972,163,177,2580
46,25040,25578,25648,211,374,3185
47,38589,38740,35735,321,447,4182
48,55709,54875,47420,535,507,6765
49,75201,75835,62005,1010,898,8725
50,99910,96579,78583,1664,1519,11141
51,127499,125765,101588,2620,2493,13146
52,159739,160660,129219,4118,4211,22651
53,198164,197123,168068,8041,7010,32717
54,248159,248044,221168,13181,12441,44814
55,317786,314145,292343,22072,22639,60906
56,403576,400728,389926,39578,40786,128205
57,509121,508661,516847,77010,79277,235416
58,633211,634599,668448,173344,180804,340435
59,768290,766261,829198,416743,416521,605630
60,894523,890722,978601,878707,863628,3120697
61,1005989,1008683,1094562,1499867,1481269,5133286
62,1088091,1087317,1163749,2153096,2146734,3280394
63,1132577,1131965,1182285,2578662,2576761,1608644
64,1136153,1137916,1144797,2543861,2579038,700277
65,1082014,1093723,1072439,2120835,2142324,228607
66,1005245,1006551,966115,1492453,1488173,42336
67,892363,887486,843567,865421,853201,6313
68,756595,771090,721076,413758,416094,2074
69,636250,632208,598402,175742,170177,924
70,506903,504898,489134,77341,74363,332
71,404205,404739,392039,39375,38136,140
72,318197,316825,310294,21437,21640,57
73,251609,250836,242225,12469,12874,40
74,196682,198485,187190,7795,7690,47
75,160542,157997,145252,4504,4390,0
76,127649,125832,112400,2777,2596,0
77,101113,99603,85727,1498,1370,0
78,73893,75436,65176,809,942,0
79,56090,56655,48937,474,575,0
80,39721,37847,37059,373,348,0
81,24560,24410,27551,129,280,0
82,15207,15145,19654,97,134,0
83,8995,8607,14488,78,76,0
84,6024,5856,11480,56,55,0
85,4957,4710,9470,89,55,0
86,3415,3461,8439,51,16,0
87,2731,2845,6951,26,19,0
88,2040,2485,6028,31,56,0
89,1607,1756,5091,27,37,0
90,1451,1324,4287,27,0,0
91,1306,1035,3676,26,0,0
92,879,1005,3171,32,0,0
93,679,776,2505,49,0,0
94,519,438,2162,38,0,0
95,344,343,1807,40,0,0
96,247,310,1465,102,0,0
97,192,146,1242,7,0,0
98,89,139,859,0,0,0
99,99,102,834,0,0,0
100,71,80,789,0,0,0
101,63,112,649,0,0,0
102,52,56,535,0,0,0
103,22,31,439,0,0,0
104,17,19,403,0,0,0
105,19,17,351,0,0,0
106,34,6,320,0,0,0
107,20,7,253,0,0,0
108,21,1,197,0,0,0
109,8,11,111,0,0,0
110,34,3,99,0,0,0
111,41,4,97,0,0,0
112,11,10,69,0,0,0
113,14,2,65,0,0,0
114,12,0,55,0,0,0
115,5,0,27,0,0,0
116,1,0,21,0,0,0
117,6,0,13,0,0,0
118,0,0,4,0,0,0
119,5,0,20,0,0,0
120,12,0,3,0,0,0
121,0,0,0,0,0,0
122,0,0,1,0,0,0
123,5,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
