,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,7,0,0,0,0
4,0,5,0,0,0,0
5,2,11,0,0,0,0
6,0,12,0,0,0,0
7,5,12,0,0,0,0
8,0,16,0,0,0,0
9,18,50,0,0,0,0
10,10,25,11,0,0,0
11,19,16,14,0,0,0
12,26,57,16,0,0,0
13,38,72,27,0,0,0
14,100,126,71,0,0,0
15,69,161,96,0,0,0
16,143,133,183,0,0,0
17,206,189,243,0,0,0
18,189,234,309,0,0,0
19,222,379,407,0,0,0
20,349,484,482,0,0,0
21,547,481,717,0,0,0
22,860,818,975,0,0,0
23,1087,1111,1133,0,0,0
24,1282,1673,1588,0,0,0
25,1878,2069,1908,0,0,0
26,2273,2657,2415,0,0,0
27,2839,3599,3124,0,0,0
28,4243,4439,4109,37,0,0
29,4911,5683,5070,145,33,0
30,6263,7007,6346,206,80,0
31,8249,8500,7508,406,274,0
32,9869,11017,9179,495,324,0
33,12243,12818,11593,640,729,0
34,15063,16068,13900,929,1520,0
35,18735,19347,17132,2084,2309,0
36,22517,22634,20465,3117,3420,0
37,27332,26967,24831,4745,4700,0
38,31685,32422,29430,6607,7333,0
39,38607,36933,34940,10224,10312,0
40,43679,43468,40473,13648,14039,77
41,51548,49462,47724,19605,19575,673
42,60041,57875,54609,25248,25488,4338
43,68086,67084,63293,34371,32803,14274
44,77662,76862,73040,45496,44696,36287
45,87479,85630,81631,56484,55946,78921
46,98729,98295,92210,66681,67222,136796
47,110083,108382,104125,81120,80823,212951
48,121264,122756,115075,96108,97056,295326
49,132808,134113,126891,114292,113780,374347
50,146439,145579,140701,131959,133531,445152
51,160025,160336,154015,152446,151107,499487
52,176040,173582,167861,170869,174829,534076
53,184925,185235,181866,189004,194679,555521
54,200143,198970,194228,213491,211127,561549
55,211987,212375,209236,235274,228983,549573
56,222892,220194,221243,256052,253596,529571
57,233556,232613,230616,271037,270507,492396
58,242537,241024,242581,286491,287186,447756
59,249530,249376,252593,300278,302389,406649
60,255531,257386,261058,311859,317072,359750
61,257731,261643,266482,329205,326440,312696
62,263022,263425,272844,329350,333757,273761
63,263549,266513,274288,335029,340584,230343
64,263201,264105,276828,338638,338804,197096
65,264215,261867,276207,338649,339528,161625
66,259608,257783,275329,326827,326478,133970
67,257118,256099,269413,317371,316248,105225
68,246958,248367,263755,308063,301081,80895
69,239881,241707,254497,291056,292796,61636
70,231576,229196,243853,278761,278665,47938
71,222515,221746,232373,261777,259617,36094
72,209500,208545,220449,238314,237552,26124
73,197966,197712,207860,220630,215185,17347
74,185663,186222,193086,199799,194152,12444
75,171477,173432,179605,174414,173990,8166
76,160273,160391,164189,154155,151499,5091
77,145945,146904,150808,134306,132679,2950
78,133696,135173,135766,115983,113382,1664
79,122199,120936,121864,96315,96697,740
80,110632,109291,108425,80593,83257,285
81,99368,98265,94987,64303,66163,144
82,87942,86962,82506,53113,52244,37
83,77308,77618,72460,39552,42898,0
84,67092,67832,61896,32382,34483,0
85,58373,58236,53932,25335,26026,0
86,50550,51958,45797,19408,20661,0
87,44118,44329,37925,14823,16059,0
88,38174,37554,31570,10228,11069,0
89,32089,32459,25796,7568,7716,0
90,27180,28111,21503,4691,5423,0
91,23227,22458,17390,3454,3464,0
92,18561,18650,14179,2392,2395,0
93,14882,15659,11246,1740,1487,0
94,12352,12675,8998,1013,962,0
95,9828,10230,7062,501,275,0
96,8527,8119,5373,267,296,0
97,6401,6844,4304,160,122,0
98,5233,5462,3440,128,55,0
99,4073,4482,2667,0,60,0
100,3374,3401,1952,0,24,0
101,2431,2619,1479,0,0,0
102,1913,2119,1074,0,0,0
103,1401,1644,823,0,0,0
104,1072,1130,554,0,0,0
105,737,810,396,0,0,0
106,440,508,395,0,0,0
107,374,497,244,0,0,0
108,255,312,169,0,0,0
109,195,288,94,0,0,0
110,169,261,109,0,0,0
111,202,92,83,0,0,0
112,106,89,58,0,0,0
113,88,56,35,0,0,0
114,52,28,21,0,0,0
115,21,12,10,0,0,0
116,27,6,2,0,0,0
117,9,21,0,0,0,0
118,8,34,0,0,0,0
119,0,12,0,0,0,0
120,1,13,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
